CODE_NAME,SUBCLASS,year,harvest_ac,production,value
ORCHARD_DECIDUOUS,ALMONDS,2016,105600,278520,496912000
ORCHARD_DECIDUOUS,ALMONDS,2017,122275,298480,531030000
ORCHARD_DECIDUOUS,ALMONDS,2018,134313,402618,703536000
ORCHARD_DECIDUOUS,ALMONDS,2019,153080,358754,684915000
ORCHARD_DECIDUOUS,ALMONDS,2020,161370,647280,888659000
ORCHARD_DECIDUOUS,APPLES,2014,2720,67000,37310000
ORCHARD_DECIDUOUS,APPLES,2015,2320,48300,21524000
ORCHARD_DECIDUOUS,APPLES,2016,2903,47320,19116000
ORCHARD_DECIDUOUS,APPLES,2017,2320,35700,23078000
ORCHARD_DECIDUOUS,APPLES,2018,2000,33200,16758000
ORCHARD_DECIDUOUS,APPLES,2019,1990,37300,18377000
ORCHARD_DECIDUOUS,APPLES,2020,1870,28300,12852000
ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2014,6231,0,31256000
ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2015,8273,0,34528000
ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2016,8133,0,49898000
ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2017,8247,0,31864000
ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2018,11104,110000,40595000
ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2019,9819,96245,39728000
ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2020,6990,185520,29856000
ORCHARD_DECIDUOUS,PEARS,2014,5365,107700,51311000
ORCHARD_DECIDUOUS,PEARS,2015,5255,95620,41110000
ORCHARD_DECIDUOUS,PEARS,2016,5256,90250,42570000
ORCHARD_DECIDUOUS,PEARS,2017,5218,105440,42620000
ORCHARD_DECIDUOUS,PEARS,2018,5022,81130,37814000
ORCHARD_DECIDUOUS,PEARS,2019,5173,82120,24421000
ORCHARD_DECIDUOUS,PEARS,2020,4970,52700,26481000
ORCHARD_DECIDUOUS,STONE FRUIT,2014,27654,74883,128544000
ORCHARD_DECIDUOUS,STONE FRUIT,2015,26701,96260,221574000
ORCHARD_DECIDUOUS,STONE FRUIT,2016,27190,68846,97920000
ORCHARD_DECIDUOUS,STONE FRUIT,2017,27262,124219,239188000
ORCHARD_DECIDUOUS,STONE FRUIT,2018,27809,71963,137472000
ORCHARD_DECIDUOUS,STONE FRUIT,2019,27661,131493,133682000
ORCHARD_DECIDUOUS,STONE FRUIT,2020,28129,96265,228402000
ORCHARD_DECIDUOUS,WALNUTS,2014,88404,168747,632161000
ORCHARD_DECIDUOUS,WALNUTS,2015,90444,180947,403412000
ORCHARD_DECIDUOUS,WALNUTS,2016,93709,181590,357230000
ORCHARD_DECIDUOUS,WALNUTS,2017,97594,171045,413745000
ORCHARD_DECIDUOUS,WALNUTS,2018,100171,192978,266024000
ORCHARD_DECIDUOUS,WALNUTS,2019,104532,192326,359051000
ORCHARD_DECIDUOUS,WALNUTS,2020,102198,198090,277433000
PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2014,143090,914000,226889000
PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2015,137250,849800,157046000
PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2016,130310,761640,106935000
PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2017,116270,679350,121735000
PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2018,112540,677560,136072000
PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2019,111740,666300,129972000
PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2020,108310,670800,127078000
PASTURE_OTHER,MISCELLANEOUS GRASSES,2014,699,0,5653000
PASTURE_OTHER,MISCELLANEOUS GRASSES,2015,643,0,5956000
PASTURE_OTHER,MISCELLANEOUS GRASSES,2016,6410,11100,6972000
PASTURE_OTHER,MISCELLANEOUS GRASSES,2017,6095,16300,8753000
PASTURE_OTHER,MISCELLANEOUS GRASSES,2018,5600,14400,9015000
PASTURE_OTHER,MISCELLANEOUS GRASSES,2019,6790,15200,8477000
PASTURE_OTHER,MISCELLANEOUS GRASSES,2020,5590,9850,9576000
PASTURE_OTHER,MIXED PASTURE,2014,80450,0,12131000
PASTURE_OTHER,MIXED PASTURE,2015,82850,0,12168000
PASTURE_OTHER,MIXED PASTURE,2016,70750,0,11921000
PASTURE_OTHER,MIXED PASTURE,2017,70350,0,13433000
PASTURE_OTHER,MIXED PASTURE,2018,64350,0,12103000
PASTURE_OTHER,MIXED PASTURE,2019,62950,0,12665000
PASTURE_OTHER,MIXED PASTURE,2020,61750,0,12674000
RICE,RICE (ALL TYPES),2014,51290,220800,92064000
RICE,RICE (ALL TYPES),2015,34470,147600,56417000
RICE,RICE (ALL TYPES),2016,49050,202800,55624000
RICE,RICE (ALL TYPES),2017,38960,152000,54179000
RICE,RICE (ALL TYPES),2018,45730,186200,71952000
RICE,RICE (ALL TYPES),2019,46950,198800,76527000
RICE,RICE (ALL TYPES),2020,51290,216700,91332000
ROW,BUSH BERRIES,2014,1310,6550,27510000
ROW,BUSH BERRIES,2015,1260,6000,21373000
ROW,BUSH BERRIES,2016,1250,6250,26597000
ROW,BUSH BERRIES,2017,1590,6990,21852000
ROW,BUSH BERRIES,2018,2150,11000,61096000
ROW,BUSH BERRIES,2019,2210,10400,60957000
ROW,BUSH BERRIES,2020,1980,8370,59118000
ROW,CARROTS,2019,1130,21400,12785000
ROW,CARROTS,2020,650,25600,5370000
ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2014,8291,179061,60050000
ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2015,8415,176850,58528000
ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2016,9369,247300,78865000
ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2017,10653,221560,70202000
ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2018,9499,220000,68941000
ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2019,9850,223900,70737000
ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2020,9252,207500,85020000
ROW,MISCELLANEOUS TRUCK,2014,35406,197243,188086000
ROW,MISCELLANEOUS TRUCK,2015,37163,75432,200688000
ROW,MISCELLANEOUS TRUCK,2016,40841,765383,205815000
ROW,MISCELLANEOUS TRUCK,2017,35688,490738,174576000
ROW,MISCELLANEOUS TRUCK,2018,32461,259397,173868000
ROW,MISCELLANEOUS TRUCK,2019,25585,208470,134814000
ROW,MISCELLANEOUS TRUCK,2020,33680,193690,190440000
ROW,ONIONS & GARLIC,2014,1580,27400,7453000
ROW,ONIONS & GARLIC,2015,974,19300,3805000
ROW,ONIONS & GARLIC,2016,1520,34200,8206000
ROW,ONIONS & GARLIC,2017,1410,40000,6427000
ROW,ONIONS & GARLIC,2018,1390,61900,14025000
ROW,ONIONS & GARLIC,2019,4420,70000,22828000
ROW,ONIONS & GARLIC,2020,4850,59700,20890000
ROW,"PEPPERS (CHILI, BELL, ETC)",2014,683,12700,8598000
ROW,"PEPPERS (CHILI, BELL, ETC)",2015,270,5470,3454000
ROW,"PEPPERS (CHILI, BELL, ETC)",2016,920,13400,6275000
ROW,"PEPPERS (CHILI, BELL, ETC)",2017,1380,17500,7203000
ROW,"PEPPERS (CHILI, BELL, ETC)",2018,1250,17900,13237000
ROW,"PEPPERS (CHILI, BELL, ETC)",2019,820,10300,4475000
ROW,"PEPPERS (CHILI, BELL, ETC)",2020,520,9700,4973000
ROW,POTATO OR SWEET POTATO,2014,3740,72600,40075000
ROW,POTATO OR SWEET POTATO,2015,4020,85400,62484000
ROW,POTATO OR SWEET POTATO,2016,3900,72700,47978000
ROW,POTATO OR SWEET POTATO,2017,5170,92300,63089000
ROW,POTATO OR SWEET POTATO,2018,5950,109000,36804000
ROW,POTATO OR SWEET POTATO,2019,5180,96000,33045000
ROW,POTATO OR SWEET POTATO,2020,5390,134000,80205000
ROW,STRAWBERRIES,2014,100,300,1199000
ROW,STRAWBERRIES,2015,91,373,1572000
ROW,STRAWBERRIES,2016,94,367,1958000
ROW,STRAWBERRIES,2017,68,360,1942000
ROW,STRAWBERRIES,2018,76,350,1750000
ROW,STRAWBERRIES,2019,59,218,956000
ROW,TOMATOES (PROCESSING),2014,91200,4128000,343979000
ROW,TOMATOES (PROCESSING),2015,90880,4200000,340974000
ROW,TOMATOES (PROCESSING),2016,73290,3536000,258621000
ROW,TOMATOES (PROCESSING),2017,62670,2624000,186696000
ROW,TOMATOES (PROCESSING),2018,61860,2952000,216721000
ROW,TOMATOES (PROCESSING),2019,65820,2989700,229332000
ROW,TOMATOES (PROCESSING),2020,57660,2879000,227171000
VINEYARD,VINEYARD,2014,151170,1167000,709221000
VINEYARD,VINEYARD,2015,148740,949330,572405000
VINEYARD,VINEYARD,2016,153010,1143400,724617000
VINEYARD,VINEYARD,2017,154860,1074900,684023000
VINEYARD,VINEYARD,2018,154560,1204500,741851000
VINEYARD,VINEYARD,2019,156370,1167100,687089000
VINEYARD,VINEYARD,2020,152340,1084490,629857000
