scenario,county,CODE_NAME,area,area_unit
scenario2_perennialexpand,Contra Costa & Alameda,PASTURE_OTHER,4003.7401590943336,ha
scenario2_perennialexpand,Contra Costa & Alameda,GRASSLAND,4191.210166543722,ha
scenario2_perennialexpand,Contra Costa & Alameda,URBAN,12869.190511375666,ha
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,169.20000672340393,ha
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,25.38000100851059,ha
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,119.34000474214554,ha
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,71.55000284314156,ha
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,343.8000136613846,ha
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,382.1400151848793,ha
scenario2_perennialexpand,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,24.840000987052917,ha
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_MANAGED_PERENNIAL,0,ha
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_MANAGED_SEASONAL,0,ha
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_TIDAL,763.7400303483009,ha
scenario2_perennialexpand,Contra Costa & Alameda,WETLAND_OTHER,2107.170083731413,ha
scenario2_perennialexpand,Contra Costa & Alameda,WATER,7042.230279833078,ha
scenario2_perennialexpand,Contra Costa & Alameda,WOODLAND,174.60000693798065,ha
scenario2_perennialexpand,Contra Costa & Alameda,SCRUB,174.60000693798065,ha
scenario2_perennialexpand,Contra Costa & Alameda,BARREN,17.01000067591667,ha
scenario2_perennialexpand,Sacramento,ORCHARD_DECIDUOUS,3317.22013181448,ha
scenario2_perennialexpand,Sacramento,ORCHARD_CITRUS&SUBTROPICAL,148.5900059044361,ha
scenario2_perennialexpand,Sacramento,VINEYARD,6656.0402644872665,ha
scenario2_perennialexpand,Sacramento,GRAIN&HAY_WHEAT,1136.2500451505184,ha
scenario2_perennialexpand,Sacramento,GRAIN&HAY_OTHER,1073.5200426578522,ha
scenario2_perennialexpand,Sacramento,FIELD_CORN,6362.4602528214455,ha
scenario2_perennialexpand,Sacramento,FIELD_OTHER,1292.3100513517857,ha
scenario2_perennialexpand,Sacramento,ROW,701.4600278735161,ha
scenario2_perennialexpand,Sacramento,RICE,377.8200150132179,ha
scenario2_perennialexpand,Sacramento,IDLE,3482.370138376951,ha
scenario2_perennialexpand,Sacramento,PASTURE_ALFALFA,2142.0000851154327,ha
scenario2_perennialexpand,Sacramento,PASTURE_OTHER,4159.620165288448,ha
scenario2_perennialexpand,Sacramento,GRASSLAND,1943.0100772082806,ha
scenario2_perennialexpand,Sacramento,URBAN,3327.7501322329044,ha
scenario2_perennialexpand,Sacramento,RIPARIAN_FOREST_POFR,407.70001620054245,ha
scenario2_perennialexpand,Sacramento,RIPARIAN_FOREST_QULO,761.9400302767754,ha
scenario2_perennialexpand,Sacramento,RIPARIAN_FOREST_SALIX,222.39000883698463,ha
scenario2_perennialexpand,Sacramento,RIPARIAN_FOREST_MIXED,167.13000664114952,ha
scenario2_perennialexpand,Sacramento,RIPARIAN_SCRUB_INTRO,194.58000773191452,ha
scenario2_perennialexpand,Sacramento,RIPARIAN_SCRUB_SALIX,423.9000168442726,ha
