n,scenario,spp,value
15,baseline,dblr,79628
15,baseline,shore,170917
15,baseline,cicon,313040
15,baseline,crane,30967
15,baseline,geese,22311
15,baseline,TOTAL,349674
15,scenario1,dblr,117150
15,scenario1,shore,225775
15,scenario1,cicon,348556
15,scenario1,crane,33863
15,scenario1,geese,22085
15,scenario1,TOTAL,395051
15,scenario2_alt,dblr,78882
15,scenario2_alt,shore,161630
15,scenario2_alt,cicon,287310
15,scenario2_alt,crane,36059
15,scenario2_alt,geese,29835
15,scenario2_alt,TOTAL,332728
15,scenario3_alt,dblr,116705
15,scenario3_alt,shore,220105
15,scenario3_alt,cicon,325572
15,scenario3_alt,crane,38352
15,scenario3_alt,geese,29110
15,scenario3_alt,TOTAL,379512
16,baseline,dblr,149810
16,baseline,shore,153789
16,baseline,cicon,245798
16,baseline,crane,52279
16,baseline,geese,80264
16,baseline,TOTAL,333617
16,scenario1,dblr,198920
16,scenario1,shore,187860
16,scenario1,cicon,282803
16,scenario1,crane,57768
16,scenario1,geese,84893
16,scenario1,TOTAL,378018
16,scenario2_alt,dblr,129380
16,scenario2_alt,shore,146568
16,scenario2_alt,cicon,226923
16,scenario2_alt,crane,61525
16,scenario2_alt,geese,129798
16,scenario2_alt,TOTAL,329447
16,scenario3_alt,dblr,180803
16,scenario3_alt,shore,182054
16,scenario3_alt,cicon,267200
16,scenario3_alt,crane,67971
16,scenario3_alt,geese,148930
16,scenario3_alt,TOTAL,381685
17,baseline,dblr,106242
17,baseline,shore,155893
17,baseline,cicon,54342
17,baseline,crane,72254
17,baseline,geese,34866
17,baseline,TOTAL,216604
17,scenario1,dblr,145690
17,scenario1,shore,190898
17,scenario1,cicon,71420
17,scenario1,crane,72288
17,scenario1,geese,39331
17,scenario1,TOTAL,250480
17,scenario2_alt,dblr,102501
17,scenario2_alt,shore,149497
17,scenario2_alt,cicon,45888
17,scenario2_alt,crane,76930
17,scenario2_alt,geese,51220
17,scenario2_alt,TOTAL,214077
17,scenario3_alt,dblr,142558
17,scenario3_alt,shore,185046
17,scenario3_alt,cicon,58868
17,scenario3_alt,crane,75802
17,scenario3_alt,geese,58395
17,scenario3_alt,TOTAL,248202
18,baseline,dblr,69719
18,baseline,shore,154373
18,baseline,cicon,38151
18,baseline,crane,41442
18,baseline,geese,9377
18,baseline,TOTAL,209081
18,scenario1,dblr,110850
18,scenario1,shore,193255
18,scenario1,cicon,47406
18,scenario1,crane,42369
18,scenario1,geese,10540
18,scenario1,TOTAL,248387
18,scenario2_alt,dblr,65944
18,scenario2_alt,shore,148087
18,scenario2_alt,cicon,37918
18,scenario2_alt,crane,44709
18,scenario2_alt,geese,12659
18,scenario2_alt,TOTAL,202827
18,scenario3_alt,dblr,107674
18,scenario3_alt,shore,187880
18,scenario3_alt,cicon,45048
18,scenario3_alt,crane,45667
18,scenario3_alt,geese,13615
18,scenario3_alt,TOTAL,242009
19,baseline,dblr,82169
19,baseline,shore,157842
19,baseline,cicon,350332
19,baseline,crane,68332
19,baseline,geese,26224
19,baseline,TOTAL,380982
19,scenario1,dblr,119791
19,scenario1,shore,193166
19,scenario1,cicon,407905
19,scenario1,crane,68138
19,scenario1,geese,31183
19,scenario1,TOTAL,434178
19,scenario2_alt,dblr,81881
19,scenario2_alt,shore,150512
19,scenario2_alt,cicon,326578
19,scenario2_alt,crane,74335
19,scenario2_alt,geese,39991
19,scenario2_alt,TOTAL,361740
19,scenario3_alt,dblr,119612
19,scenario3_alt,shore,186694
19,scenario3_alt,cicon,387134
19,scenario3_alt,crane,75052
19,scenario3_alt,geese,58605
19,scenario3_alt,TOTAL,417469
20,baseline,dblr,106967
20,baseline,shore,162356
20,baseline,cicon,128791
20,baseline,crane,49929
20,baseline,geese,12926
20,baseline,TOTAL,236788
20,scenario1,dblr,148258
20,scenario1,shore,198259
20,scenario1,cicon,152212
20,scenario1,crane,52279
20,scenario1,geese,15502
20,scenario1,TOTAL,276137
20,scenario2_alt,dblr,99805
20,scenario2_alt,shore,157026
20,scenario2_alt,cicon,121631
20,scenario2_alt,crane,49443
20,scenario2_alt,geese,23471
20,scenario2_alt,TOTAL,227768
20,scenario3_alt,dblr,140611
20,scenario3_alt,shore,194406
20,scenario3_alt,cicon,146439
20,scenario3_alt,crane,51691
20,scenario3_alt,geese,27599
20,scenario3_alt,TOTAL,269133
21,baseline,dblr,67177
21,baseline,shore,150886
21,baseline,cicon,262683
21,baseline,crane,24900
21,baseline,geese,34149
21,baseline,TOTAL,309803
21,scenario1,dblr,110294
21,scenario1,shore,185918
21,scenario1,cicon,334676
21,scenario1,crane,27197
21,scenario1,geese,41882
21,scenario1,TOTAL,377192
21,scenario2_alt,dblr,63727
21,scenario2_alt,shore,147794
21,scenario2_alt,cicon,247578
21,scenario2_alt,crane,31979
21,scenario2_alt,geese,46519
21,scenario2_alt,TOTAL,296169
21,scenario3_alt,dblr,106998
21,scenario3_alt,shore,183106
21,scenario3_alt,cicon,321693
21,scenario3_alt,crane,34354
21,scenario3_alt,geese,67231
21,scenario3_alt,TOTAL,365711
22,baseline,dblr,87708
22,baseline,shore,177385
22,baseline,cicon,230919
22,baseline,crane,78568
22,baseline,geese,8726
22,baseline,TOTAL,319482
22,scenario1,dblr,131677
22,scenario1,shore,213834
22,scenario1,cicon,309848
22,scenario1,crane,80480
22,scenario1,geese,8805
22,scenario1,TOTAL,386308
22,scenario2_alt,dblr,77789
22,scenario2_alt,shore,168463
22,scenario2_alt,cicon,222044
22,scenario2_alt,crane,76125
22,scenario2_alt,geese,11149
22,scenario2_alt,TOTAL,306197
22,scenario3_alt,dblr,121426
22,scenario3_alt,shore,206401
22,scenario3_alt,cicon,298883
22,scenario3_alt,crane,78239
22,scenario3_alt,geese,12287
22,scenario3_alt,TOTAL,371802
23,baseline,dblr,88392
23,baseline,shore,143636
23,baseline,cicon,220706
23,baseline,crane,48098
23,baseline,geese,6949
23,baseline,TOTAL,293252
23,scenario1,dblr,127377
23,scenario1,shore,178320
23,scenario1,cicon,282369
23,scenario1,crane,51648
23,scenario1,geese,6791
23,scenario1,TOTAL,353259
23,scenario2_alt,dblr,86390
23,scenario2_alt,shore,138806
23,scenario2_alt,cicon,226004
23,scenario2_alt,crane,48304
23,scenario2_alt,geese,10032
23,scenario2_alt,TOTAL,288753
23,scenario3_alt,dblr,125416
23,scenario3_alt,shore,173878
23,scenario3_alt,cicon,292904
23,scenario3_alt,crane,53100
23,scenario3_alt,geese,9921
23,scenario3_alt,TOTAL,354972
24,baseline,dblr,92224
24,baseline,shore,179337
24,baseline,cicon,191005
24,baseline,crane,49445
24,baseline,geese,8039
24,baseline,TOTAL,234772
24,scenario1,dblr,137194
24,scenario1,shore,213453
24,scenario1,cicon,228219
24,scenario1,crane,48836
24,scenario1,geese,8033
24,scenario1,TOTAL,272490
24,scenario2_alt,dblr,82145
24,scenario2_alt,shore,170780
24,scenario2_alt,cicon,180559
24,scenario2_alt,crane,47411
24,scenario2_alt,geese,11229
24,scenario2_alt,TOTAL,219575
24,scenario3_alt,dblr,127717
24,scenario3_alt,shore,206327
24,scenario3_alt,cicon,217204
24,scenario3_alt,crane,46174
24,scenario3_alt,geese,10917
24,scenario3_alt,TOTAL,256842
25,baseline,dblr,100275
25,baseline,shore,152996
25,baseline,cicon,277137
25,baseline,crane,2979
25,baseline,geese,8317
25,baseline,TOTAL,313731
25,scenario1,dblr,140233
25,scenario1,shore,188116
25,scenario1,cicon,325762
25,scenario1,crane,2978
25,scenario1,geese,8555
25,scenario1,TOTAL,359346
25,scenario2_alt,dblr,94766
25,scenario2_alt,shore,147078
25,scenario2_alt,cicon,270842
25,scenario2_alt,crane,4850
25,scenario2_alt,geese,12136
25,scenario2_alt,TOTAL,305218
25,scenario3_alt,dblr,134563
25,scenario3_alt,shore,182492
25,scenario3_alt,cicon,320319
