class,zone,area_unit,value_baseline,value_scenario,net_change,scenario,LABEL
IDLE,Contra Costa & Alameda,ha,2932.0200000006166,2930.760116457939,-1.2598835426774713,scenario1_restoration,Idle
SCRUB,Sacramento,ha,4.049999999999998,2.9700001180171967,-1.0799998819828014,scenario1_restoration,Scrub
URBAN,Contra Costa & Alameda,ha,12869.190000016682,12868.11051133275,-1.0794886839321407,scenario1_restoration,Urban
BARREN,Sacramento,ha,3.9599999999999977,3.3300001323223114,-0.6299998676776863,scenario1_restoration,Barren
URBAN,San Joaquin,ha,16702.11000002288,16701.750663667917,-0.3593363549625792,scenario1_restoration,Urban
SCRUB,Solano,ha,33.570000000000014,33.39000132679939,-0.1799986732006218,scenario1_restoration,Scrub
WOODLAND,Contra Costa & Alameda,ha,174.60000000000534,174.51000693440437,-0.08999306560096443,scenario1_restoration,Woodland
ORCHARD_DECIDUOUS,Yolo,ha,378.71999999997433,378.63001504540443,-0.08998495456989986,scenario1_restoration,Orchard - Deciduous Fruits & Nuts
RICE,Contra Costa & Alameda,ha,0,0,0,scenario1_restoration,Rice
WETLAND_MANAGED_PERENNIAL,Contra Costa & Alameda,ha,0,0,0,scenario1_restoration,Managed Wetland - Perennial
RICE,Solano,ha,0,0,0,scenario1_restoration,Rice
SCRUB,Yolo,ha,0,0,0,scenario1_restoration,Scrub
BARREN,Yolo,ha,0,0,0,scenario1_restoration,Barren
RIPARIAN_SCRUB_MIXED,Solano,ha,1.5300000000000002,1.5300000607967377,6.079673742220848e-8,scenario1_restoration,Riparian - Mixed Shrub
WETLAND_MANAGED_PERENNIAL,San Joaquin,ha,2.9699999999999993,2.9700001180171967,1.180171973480526e-7,scenario1_restoration,Managed Wetland - Perennial
RIPARIAN_SCRUB_MIXED,Yolo,ha,5.129999999999996,5.130000203847885,2.0384788879113103e-7,scenario1_restoration,Riparian - Mixed Shrub
ORCHARD_CITRUS&SUBTROPICAL,Contra Costa & Alameda,ha,5.849999999999995,5.850000232458115,2.324581194201869e-7,scenario1_restoration,Orchard - Citrus & Subtropical
BARREN,Solano,ha,7.829999999999992,7.830000311136246,3.1113625365009057e-7,scenario1_restoration,Barren
ORCHARD_CITRUS&SUBTROPICAL,Sacramento,ha,8.009999999999993,8.010000318288803,3.182888104191761e-7,scenario1_restoration,Orchard - Citrus & Subtropical
BARREN,Contra Costa & Alameda,ha,17.00999999999998,17.01000067591667,6.759166915060177e-7,scenario1_restoration,Barren
ORCHARD_CITRUS&SUBTROPICAL,Solano,ha,18.989999999999977,18.990000754594803,7.545948257359214e-7,scenario1_restoration,Orchard - Citrus & Subtropical
RIPARIAN_SCRUB_MIXED,Contra Costa & Alameda,ha,24.839999999999968,24.840000987052917,9.870529495970004e-7,scenario1_restoration,Riparian - Mixed Shrub
RIPARIAN_SCRUB_INTRO,Yolo,ha,25.199999999999967,25.200001001358032,1.0013580649115283e-6,scenario1_restoration,Riparian - Introduced Scrub
SCRUB,San Joaquin,ha,28.169999999999963,28.17000111937523,1.1193752662563838e-6,scenario1_restoration,Scrub
ORCHARD_CITRUS&SUBTROPICAL,Yolo,ha,33.21,33.210001319646835,1.3196468344744972e-6,scenario1_restoration,Orchard - Citrus & Subtropical
WETLAND_MANAGED_PERENNIAL,Solano,ha,33.48000000000001,33.48000133037567,1.330375660302252e-6,scenario1_restoration,Managed Wetland - Perennial
RIPARIAN_SCRUB_MIXED,San Joaquin,ha,51.93000000000071,51.9300020635128,2.0635120918655048e-6,scenario1_restoration,Riparian - Mixed Shrub
RIPARIAN_FOREST_MIXED,Contra Costa & Alameda,ha,71.55000000000145,71.55000284314156,2.843140109121123e-6,scenario1_restoration,Riparian - Mixed Forest
WETLAND_MANAGED_PERENNIAL,Yolo,ha,104.4900000000027,104.49000415205956,4.152056860107223e-6,scenario1_restoration,Managed Wetland - Perennial
RIPARIAN_FOREST_SALIX,Contra Costa & Alameda,ha,123.30000000000341,123.3000048995018,4.899498392774149e-6,scenario1_restoration,Riparian - Willow
RIPARIAN_SCRUB_INTRO,Solano,ha,135.72000000000386,135.72000539302826,5.39302439506173e-6,scenario1_restoration,Riparian - Introduced Scrub
SCRUB,Contra Costa & Alameda,ha,174.60000000000534,174.60000693798065,6.937975314258438e-6,scenario1_restoration,Scrub
RIPARIAN_SCRUB_INTRO,San Joaquin,ha,192.60000000000602,192.6000076532364,7.653230369442099e-6,scenario1_restoration,Riparian - Introduced Scrub
RIPARIAN_SCRUB_INTRO,Sacramento,ha,219.24000000000703,219.24000871181488,8.711807851113917e-6,scenario1_restoration,Riparian - Introduced Scrub
RIPARIAN_SCRUB_INTRO,Contra Costa & Alameda,ha,343.979999999984,343.98001366853714,1.3668553151546803e-5,scenario1_restoration,Riparian - Introduced Scrub
WETLAND_TIDAL,San Joaquin,ha,449.2799999999547,449.2800178527832,1.7852828477771254e-5,scenario1_restoration,Tidal Wetland
FIELD_OTHER,Contra Costa & Alameda,ha,522.359999999941,522.3600207567215,2.0756780486408388e-5,scenario1_restoration,Other Field Crops
ORCHARD_CITRUS&SUBTROPICAL,San Joaquin,ha,577.7099999999606,577.7100229561329,2.2956172301746847e-5,scenario1_restoration,Orchard - Citrus & Subtropical
WETLAND_TIDAL,Yolo,ha,616.1399999999742,616.1400244832039,2.4483229708494036e-5,scenario1_restoration,Tidal Wetland
URBAN,Solano,ha,622.1699999999763,622.1700247228146,2.472283824772603e-5,scenario1_restoration,Urban
GRAIN&HAY_OTHER,Contra Costa & Alameda,ha,665.4599999999916,665.4600264430046,2.64430129846005e-5,scenario1_restoration,Other Grains
WETLAND_TIDAL,Solano,ha,687.5099999999994,687.5100273191929,2.7319193463881675e-5,scenario1_restoration,Tidal Wetland
VINEYARD,Solano,ha,706.5900000000062,706.590028077364,2.8077357796973956e-5,scenario1_restoration,Vineyard
VINEYARD,Contra Costa & Alameda,ha,752.4000000000224,752.4000298976898,2.9897667445766274e-5,scenario1_restoration,Vineyard
WETLAND_TIDAL,Contra Costa & Alameda,ha,763.7400000000264,763.7400303483009,3.0348274549396592e-5,scenario1_restoration,Tidal Wetland
WETLAND_TIDAL,Sacramento,ha,1042.200000000102,1042.2000414133072,4.141320528106007e-5,scenario1_restoration,Tidal Wetland
ORCHARD_DECIDUOUS,Solano,ha,1073.4300000000735,1073.430042654276,4.265420238880324e-5,scenario1_restoration,Orchard - Deciduous Fruits & Nuts
GRAIN&HAY_WHEAT,Contra Costa & Alameda,ha,1102.2300000000473,1102.230043798685,4.379863776193815e-5,scenario1_restoration,Wheat
ORCHARD_DECIDUOUS,Contra Costa & Alameda,ha,1211.2199999999482,1211.2200481295586,4.812961037714558e-5,scenario1_restoration,Orchard - Deciduous Fruits & Nuts
RICE,San Joaquin,ha,1211.399999999948,1211.4000481367111,4.8136763098227675e-5,scenario1_restoration,Rice
PASTURE_ALFALFA,Contra Costa & Alameda,ha,1282.2299999998836,1282.2300509512424,5.095135884403135e-5,scenario1_restoration,Alfalfa
WATER,Yolo,ha,1752.1199999994562,1752.1200696229935,6.962353722883563e-5,scenario1_restoration,Water
ROW,Contra Costa & Alameda,ha,1829.7899999993856,1829.790072709322,7.270993637575884e-5,scenario1_restoration,Row Crops
URBAN,Yolo,ha,3263.3100000011523,3263.310129672289,1.2967113661943586e-4,scenario1_restoration,Urban
FIELD_CORN,Contra Costa & Alameda,ha,4278.870000002794,4278.870170027018,1.700242237347993e-4,scenario1_restoration,Corn
WATER,Solano,ha,4576.950000003276,4576.950181871653,1.8186837678513257e-4,scenario1_restoration,Water
WATER,Sacramento,ha,5684.850000005067,5684.850225895643,2.2589057607547147e-4,scenario1_restoration,Water
WATER,Contra Costa & Alameda,ha,7042.230000007262,7042.230279833078,2.798258165057632e-4,scenario1_restoration,Water
WATER,San Joaquin,ha,7714.98000000835,7714.980306565762,3.065574119318626e-4,scenario1_restoration,Water
RIPARIAN_FOREST_QULO,Contra Costa & Alameda,ha,25.379999999999967,25.650001019239426,0.27000101923945863,scenario1_restoration,Riparian - Valley Oak
RIPARIAN_SCRUB_SALIX,Contra Costa & Alameda,ha,389.87999999997123,390.42001551389694,0.5400155139257095,scenario1_restoration,Riparian - Willow Shrub
RIPARIAN_FOREST_POFR,Contra Costa & Alameda,ha,178.20000000000547,179.0100071132183,0.8100071132128335,scenario1_restoration,Riparian - Cottonwood
RIPARIAN_SCRUB_MIXED,Sacramento,ha,31.319999999999958,32.40000128746033,1.0800012874603695,scenario1_restoration,Riparian - Mixed Shrub
RIPARIAN_FOREST_SALIX,Yolo,ha,145.44000000000423,146.88000583648682,1.4400058364825838,scenario1_restoration,Riparian - Willow
RIPARIAN_SCRUB_SALIX,Yolo,ha,141.9300000000041,147.51000586152077,5.580005861516668,scenario1_restoration,Riparian - Willow Shrub
RIPARIAN_FOREST_POFR,Solano,ha,99.81000000000252,107.01000425219536,7.200004252192841,scenario1_restoration,Riparian - Cottonwood
RIPARIAN_FOREST_SALIX,Solano,ha,84.24000000000193,91.6200036406517,7.380003640649775,scenario1_restoration,Riparian - Willow
RIPARIAN_FOREST_POFR,Yolo,ha,317.06999999999147,326.3400129675865,9.27001296759505,scenario1_restoration,Riparian - Cottonwood
RIPARIAN_FOREST_QULO,Solano,ha,53.73000000000078,74.07000294327736,20.34000294327658,scenario1_restoration,Riparian - Valley Oak
RIPARIAN_FOREST_MIXED,Yolo,ha,105.66000000000274,131.760005235672,26.100005235669258,scenario1_restoration,Riparian - Mixed Forest
WETLAND_MANAGED_SEASONAL,San Joaquin,ha,336.779999999986,366.66001456975937,29.88001456977338,scenario1_restoration,Managed Wetland - Seasonal
WETLAND_MANAGED_SEASONAL,Contra Costa & Alameda,ha,0,32.580001294612885,32.580001294612885,scenario1_restoration,Managed Wetland - Seasonal
RIPARIAN_FOREST_SALIX,Sacramento,ha,227.88000000000736,261.8100104033947,33.93001040338734,scenario1_restoration,Riparian - Willow
RIPARIAN_FOREST_MIXED,San Joaquin,ha,125.46000000000349,161.10000640153885,35.64000640153536,scenario1_restoration,Riparian - Mixed Forest
RIPARIAN_SCRUB_SALIX,Solano,ha,214.29000000000684,256.05001017451286,41.76001017450602,scenario1_restoration,Riparian - Willow Shrub
RIPARIAN_FOREST_MIXED,Solano,ha,103.86000000000267,159.30000633001328,55.440006330010604,scenario1_restoration,Riparian - Mixed Forest
RIPARIAN_FOREST_MIXED,Sacramento,ha,188.46000000000586,281.07001116871834,92.61001116871248,scenario1_restoration,Riparian - Mixed Forest
RIPARIAN_FOREST_POFR,Sacramento,ha,432.7199999999593,535.3200212717056,102.6000212717463,scenario1_restoration,Riparian - Cottonwood
WETLAND_MANAGED_SEASONAL,Sacramento,ha,717.48000000001,833.7600331306458,116.28003313063573,scenario1_restoration,Managed Wetland - Seasonal
RIPARIAN_SCRUB_SALIX,Sacramento,ha,451.70999999995405,594.6300236284733,142.92002362851923,scenario1_restoration,Riparian - Willow Shrub
WETLAND_MANAGED_SEASONAL,Solano,ha,790.7400000000359,938.7000373005867,147.96003730055077,scenario1_restoration,Managed Wetland - Seasonal
RIPARIAN_FOREST_SALIX,San Joaquin,ha,391.1399999999709,542.0700215399265,150.93002153995565,scenario1_restoration,Riparian - Willow
RIPARIAN_FOREST_QULO,Sacramento,ha,853.2900000000581,1245.8700495064259,392.5800495063678,scenario1_restoration,Riparian - Valley Oak
RIPARIAN_FOREST_POFR,San Joaquin,ha,686.339999999999,1172.7000465989113,486.3600465989123,scenario1_restoration,Riparian - Cottonwood
RIPARIAN_SCRUB_SALIX,San Joaquin,ha,864.540000000062,1387.0800551176071,522.5400551175451,scenario1_restoration,Riparian - Willow Shrub
RIPARIAN_FOREST_QULO,San Joaquin,ha,652.229999999987,1461.6900580823421,809.4600580823552,scenario1_restoration,Riparian - Valley Oak
RIPARIAN_FOREST_QULO,Yolo,ha,394.7399999999699,1437.0300571024418,1042.290057102472,scenario1_restoration,Riparian - Valley Oak
WETLAND_MANAGED_PERENNIAL,Sacramento,ha,798.6600000000387,1970.280078291893,1171.6200782918543,scenario1_restoration,Managed Wetland - Perennial
WETLAND_MANAGED_SEASONAL,Yolo,ha,3224.5200000010896,5470.200217366219,2245.680217365129,scenario1_restoration,Managed Wetland - Seasonal
ROW,San Joaquin,ha,12461.31049516797,9870.120392203331,-2591.1901029646397,scenario2_perennialexpand,Row Crops
IDLE,San Joaquin,ha,14213.970564812422,11898.450472801924,-2315.520092010498,scenario2_perennialexpand,Idle
FIELD_CORN,San Joaquin,ha,20821.770827382803,19102.590759068727,-1719.1800683140755,scenario2_perennialexpand,Corn
PASTURE_ALFALFA,San Joaquin,ha,11286.1804484725,10203.750405460596,-1082.4300430119038,scenario2_perennialexpand,Alfalfa
GRAIN&HAY_WHEAT,San Joaquin,ha,6184.710245758295,5284.710209995508,-900.0000357627869,scenario2_perennialexpand,Wheat
IDLE,Sacramento,ha,4144.050164669752,3482.370138376951,-661.6800262928009,scenario2_perennialexpand,Idle
PASTURE_OTHER,San Joaquin,ha,3944.8801567554474,3414.780135691166,-530.1000210642815,scenario2_perennialexpand,Other Pasture
FIELD_CORN,Sacramento,ha,6886.800273656845,6362.4602528214455,-524.3400208353996,scenario2_perennialexpand,Corn
GRASSLAND,San Joaquin,ha,5516.550219208002,5003.370198816061,-513.1800203919411,scenario2_perennialexpand,Grassland
PASTURE_OTHER,Yolo,ha,3840.0301525890827,3374.460134088993,-465.57001850008965,scenario2_perennialexpand,Other Pasture
IDLE,Yolo,ha,3066.300121843815,2630.5201045274734,-435.7800173163414,scenario2_perennialexpand,Idle
FIELD_OTHER,San Joaquin,ha,2676.600106358528,2276.370090454817,-400.2300159037113,scenario2_perennialexpand,Other Field Crops
WETLAND_OTHER,San Joaquin,ha,2920.1401160359383,2633.0401046276093,-287.100011408329,scenario2_perennialexpand,Other Wetland
GRAIN&HAY_OTHER,San Joaquin,ha,2597.400103211403,2329.2900925576687,-268.1100106537342,scenario2_perennialexpand,Other Grains
PASTURE_ALFALFA,Sacramento,ha,2372.5800942778587,2142.0000851154327,-230.580009162426,scenario2_perennialexpand,Alfalfa
GRAIN&HAY_OTHER,Yolo,ha,1746.0900693833828,1539.5400611758232,-206.55000820755959,scenario2_perennialexpand,Other Grains
PASTURE_OTHER,Sacramento,ha,4359.420173227787,4159.620165288448,-199.80000793933868,scenario2_perennialexpand,Other Pasture
GRAIN&HAY_WHEAT,Sacramento,ha,1326.4200527071953,1136.2500451505184,-190.17000755667686,scenario2_perennialexpand,Wheat
ROW,Yolo,ha,1440.630057245493,1265.0400502681732,-175.59000697731972,scenario2_perennialexpand,Row Crops
GRAIN&HAY_WHEAT,Yolo,ha,1759.2300699055195,1617.300064265728,-141.9300056397915,scenario2_perennialexpand,Wheat
FIELD_OTHER,Yolo,ha,1586.7900630533695,1445.2200574278831,-141.57000562548637,scenario2_perennialexpand,Other Field Crops
PASTURE_ALFALFA,Solano,ha,3235.1401285529137,3098.700123131275,-136.4400054216385,scenario2_perennialexpand,Alfalfa
RIPARIAN_FOREST_QULO,San Joaquin,ha,652.2300259172916,521.550020724535,-130.68000519275665,scenario2_perennialexpand,Riparian - Valley Oak
GRAIN&HAY_OTHER,Sacramento,ha,1197.5400475859642,1073.5200426578522,-124.02000492811203,scenario2_perennialexpand,Other Grains
FIELD_OTHER,Sacramento,ha,1415.160056233406,1292.3100513517857,-122.85000488162041,scenario2_perennialexpand,Other Field Crops
FIELD_CORN,Solano,ha,2421.360096216202,2302.7400915026665,-118.62000471353531,scenario2_perennialexpand,Corn
GRASSLAND,Sacramento,ha,2056.9500817358494,1943.0100772082806,-113.94000452756882,scenario2_perennialexpand,Grassland
IDLE,Solano,ha,2252.9700895249844,2141.6400851011276,-111.33000442385674,scenario2_perennialexpand,Idle
GRASSLAND,Solano,ha,5168.430205374956,5073.030201584101,-95.40000379085541,scenario2_perennialexpand,Grassland
RIPARIAN_FOREST_QULO,Yolo,ha,394.7400156855583,300.9600119590759,-93.78000372648239,scenario2_perennialexpand,Riparian - Valley Oak
RIPARIAN_FOREST_QULO,Sacramento,ha,853.2900339066982,761.9400302767754,-91.35000362992287,scenario2_perennialexpand,Riparian - Valley Oak
FIELD_OTHER,Solano,ha,1804.7700717151165,1717.38006824255,-87.3900034725666,scenario2_perennialexpand,Other Field Crops
GRASSLAND,Yolo,ha,3555.900141298771,3472.1101379692554,-83.79000332951546,scenario2_perennialexpand,Grassland
PASTURE_ALFALFA,Yolo,ha,995.4900395572186,913.3200362920761,-82.17000326514244,scenario2_perennialexpand,Alfalfa
FIELD_CORN,Yolo,ha,470.61001870036125,390.5100155174732,-80.10000318288803,scenario2_perennialexpand,Corn
ROW,Sacramento,ha,780.0300309956074,701.4600278735161,-78.5700031220913,scenario2_perennialexpand,Row Crops
GRAIN&HAY_WHEAT,Solano,ha,1296.9900515377522,1222.4700485765934,-74.52000296115875,scenario2_perennialexpand,Wheat
RIPARIAN_FOREST_POFR,San Joaquin,ha,686.3400272727013,612.3600243330002,-73.98000293970108,scenario2_perennialexpand,Riparian - Cottonwood
GRAIN&HAY_OTHER,Solano,ha,1633.9500649273396,1561.0500620305538,-72.90000289678574,scenario2_perennialexpand,Other Grains
WETLAND_OTHER,Solano,ha,1694.16006731987,1630.1700647771358,-63.990002542734146,scenario2_perennialexpand,Other Wetland
RIPARIAN_SCRUB_SALIX,San Joaquin,ha,864.5400343537331,816.0300324261189,-48.51000192761421,scenario2_perennialexpand,Riparian - Willow Shrub
ROW,Solano,ha,587.5200233459473,540.0000214576721,-47.52000188827515,scenario2_perennialexpand,Row Crops
RIPARIAN_FOREST_SALIX,San Joaquin,ha,391.1400155425072,354.600014090538,-36.54000145196915,scenario2_perennialexpand,Riparian - Willow
RIPARIAN_SCRUB_SALIX,Sacramento,ha,451.7100179493427,423.9000168442726,-27.810001105070114,scenario2_perennialexpand,Riparian - Willow Shrub
WETLAND_OTHER,Sacramento,ha,1423.0800565481186,1395.3600554466248,-27.720001101493835,scenario2_perennialexpand,Other Wetland
RIPARIAN_FOREST_POFR,Sacramento,ha,432.7200171947479,407.70001620054245,-25.020000994205475,scenario2_perennialexpand,Riparian - Cottonwood
RIPARIAN_SCRUB_INTRO,Sacramento,ha,219.24000871181488,194.58000773191452,-24.66000097990036,scenario2_perennialexpand,Riparian - Introduced Scrub
RIPARIAN_FOREST_MIXED,Sacramento,ha,188.46000748872757,167.13000664114952,-21.33000084757805,scenario2_perennialexpand,Riparian - Mixed Forest
RIPARIAN_SCRUB_INTRO,San Joaquin,ha,192.6000076532364,174.15000692009926,-18.45000073313713,scenario2_perennialexpand,Riparian - Introduced Scrub
PASTURE_OTHER,Solano,ha,7880.040313124657,7863.300312459469,-16.740000665187836,scenario2_perennialexpand,Other Pasture
RIPARIAN_FOREST_POFR,Yolo,ha,317.0700125992298,302.22001200914383,-14.850000590085983,scenario2_perennialexpand,Riparian - Cottonwood
RIPARIAN_FOREST_MIXED,San Joaquin,ha,125.46000498533249,111.24000442028046,-14.220000565052032,scenario2_perennialexpand,Riparian - Mixed Forest
RIPARIAN_FOREST_MIXED,Yolo,ha,105.66000419855118,92.25000366568565,-13.410000532865524,scenario2_perennialexpand,Riparian - Mixed Forest
WETLAND_OTHER,Contra Costa & Alameda,ha,2119.0500842034817,2107.170083731413,-11.880000472068787,scenario2_perennialexpand,Other Wetland
WETLAND_OTHER,Yolo,ha,2341.710093051195,2330.8200926184654,-10.890000432729721,scenario2_perennialexpand,Other Wetland
PASTURE_OTHER,Contra Costa & Alameda,ha,4013.7301594913006,4003.7401590943336,-9.990000396966934,scenario2_perennialexpand,Other Pasture
RIPARIAN_FOREST_POFR,Contra Costa & Alameda,ha,178.2000070810318,169.20000672340393,-9.000000357627869,scenario2_perennialexpand,Riparian - Cottonwood
RIPARIAN_FOREST_MIXED,Solano,ha,103.8600041270256,95.0400037765503,-8.820000350475311,scenario2_perennialexpand,Riparian - Mixed Forest
RIPARIAN_SCRUB_SALIX,Solano,ha,214.29000851511955,206.0100081861019,-8.28000032901764,scenario2_perennialexpand,Riparian - Willow Shrub
RIPARIAN_SCRUB_SALIX,Contra Costa & Alameda,ha,389.88001549243927,382.1400151848793,-7.740000307559967,scenario2_perennialexpand,Riparian - Willow Shrub
FIELD_CORN,Contra Costa & Alameda,ha,4278.870170027018,4271.580169737339,-7.290000289678574,scenario2_perennialexpand,Corn
RIPARIAN_FOREST_QULO,Solano,ha,53.730002135038376,47.700001895427704,-6.030000239610672,scenario2_perennialexpand,Riparian - Valley Oak
RIPARIAN_FOREST_SALIX,Solano,ha,84.24000334739685,78.39000311493874,-5.850000232458115,scenario2_perennialexpand,Riparian - Willow
RIPARIAN_FOREST_SALIX,Sacramento,ha,227.88000905513763,222.39000883698463,-5.490000218153,scenario2_perennialexpand,Riparian - Willow
WETLAND_TIDAL,Sacramento,ha,1042.2000414133072,1036.8900412023067,-5.3100002110004425,scenario2_perennialexpand,Tidal Wetland
RIPARIAN_SCRUB_SALIX,Yolo,ha,141.9300056397915,136.89000543951988,-5.0400002002716064,scenario2_perennialexpand,Riparian - Willow Shrub
