landscape,predictor,mean,min,max
scenario1,GRASSPAS_50,0.20277281167053304,0,1
scenario1,IDLE_2000,0.0863792969432616,0,0.40503090620040894
scenario1,IDLE_50,0.08559785626614656,0,1
scenario1,INTROSCRUB_2000,0.0029395542030478334,0,0.09045690298080444
scenario1,INTROSCRUB_50,0.0030631044613055026,0,1
scenario1,MIXEDFOREST_2000,0.0026867212739685106,0,0.061323102563619614
scenario1,MIXEDFOREST_50,0.00269408787750868,0,1
scenario1,MIXEDSHRUB_2000,3.7925468177893673e-4,0,0.013714204542338848
scenario1,MIXEDSHRUB_50,3.884128661941926e-4,0,1
scenario1,ORCHVIN_2000,0.1084579439704029,0,0.8814751505851746
scenario1,ORCHVIN_50,0.10835363815984334,0,1
scenario1,PERM_2000,0.006995102779821517,0,0.6043487787246704
scenario1,PERM_50,0.00707537372307714,0,1
scenario1,POFR_2000,0.007390577043146954,0,0.168620765209198
scenario1,POFR_50,0.007753454868473174,0,1
scenario1,QULO_2000,0.014127138680278614,0,0.3188374936580658
scenario1,QULO_50,0.0142185418175157,0,1
scenario1,RICE_2000,0.007882300506331992,0,0.5278192162513733
scenario1,RICE_50,0.007414924676161981,0,1
scenario1,RIPARIAN_2000,0.04043261880322768,0,0.48084986209869385
scenario1,RIPARIAN_50,0.04130196920343426,0,1
scenario1,SALIX_2000,0.003748608969507788,0,0.15703830122947693
scenario1,SALIX_50,0.003891529863982884,0,1
scenario1,SALIXSHRUB_2000,0.009154107359459146,0,0.1420450508594513
scenario1,SALIXSHRUB_50,0.009292396715311974,0,1
scenario1,URBAN_2000,0.12335079327921691,0,0.9950969815254211
scenario1,URBAN_50,0.12333076921171736,0,1
scenario1,WATER_2000,0.08798318835597616,0,0.9748454689979553
scenario1,WATER_50,0.08969441550665183,0,1
scenario1,WETLAND_2000,0.07662930345160837,0,0.8841753602027893
scenario1,WETLAND_50,0.07793908546782309,0,1
scenario2,AG_2000,0.2394848832883867,0,0.901016116142273
scenario2,AG_50,0.23936315403750275,0,1
scenario2,GRASSPAS_2000,0.20378305481000303,0,0.9887728095054626
scenario2,GRASSPAS_50,0.20151968661139188,0,1
scenario2,IDLE_2000,0.07786062277213385,0,0.4158317446708679
scenario2,IDLE_50,0.07736900695847533,0,1
scenario2,INTROSCRUB_2000,0.0027801143580329438,0,0.09031479060649872
scenario2,INTROSCRUB_50,0.002900881012365547,0,1
scenario2,MIXEDFOREST_2000,0.0017872273887199134,0,0.039010871201753616
scenario2,MIXEDFOREST_50,0.0017972882547306133,0,1
scenario2,MIXEDSHRUB_2000,3.683962618653631e-4,0,0.013714204542338848
scenario2,MIXEDSHRUB_50,3.775546605458864e-4,0,1
scenario2,ORCHVIN_2000,0.164476553646452,0,0.9194201827049255
scenario2,ORCHVIN_50,0.16429928887514295,0,1
scenario2,PERM_2000,0.003054479068986107,0,0.3328359127044678
scenario2,PERM_50,0.003134749998944381,0,1
scenario2,POFR_2000,0.005097762639291003,0,0.154124915599823
scenario2,POFR_50,0.005313931608758175,0,1
scenario2,QULO_2000,0.005549448201025055,0,0.1777161955833435
scenario2,QULO_50,0.005554204209305163,0,1
scenario2,RICE_2000,0.009229574007981517,0,0.5662616491317749
scenario2,RICE_50,0.00898574506644356,0,1
scenario2,RIPARIAN_2000,0.025045155734951436,0,0.44254955649375916
scenario2,RIPARIAN_50,0.02559228028089158,0,1
scenario2,SALIX_2000,0.0029756402677308213,0,0.08519860357046127
scenario2,SALIX_50,0.0030698328342135183,0,1
scenario2,SALIXSHRUB_2000,0.006479909971359061,0,0.07148440182209015
scenario2,SALIXSHRUB_50,0.0065781469281491044,0,1
scenario2,URBAN_2000,0.12336165148432021,0,0.9950969815254211
scenario2,URBAN_50,0.12334162741709151,0,1
scenario2,WATER_2000,0.08798318835598058,0,0.9748454689979553
scenario2,WATER_50,0.08969441550665183,0,1
scenario2,WETLAND_2000,0.06494477831141707,0,0.7782278060913086
scenario2,WETLAND_50,0.06586186084100108,0,1
