scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCENARIO,SCENARIO_SE,BASELINE,BASELINE_SE,net_change,net_change_se,change_prop,change_prop_se,change_pct,change_pct_se
scenario1_restoration,Climate Change Resilience,climate change resilience,Heat,ranking,1860839.2189296999,15967.830604176073,1860438.61864386,16156.901286155207,400.6002858397551,22716.00918678776,2.1532572041090337e-4,0.012210028982172735,0.021532572041090336,1.2210028982172736
scenario1_restoration,Climate Change Resilience,climate change resilience,Salinity,ranking,1453357.9800000594,0,1444678.1100000096,0,8679.870000049705,0,0.006008168837035709,0,0.6008168837035709,0
scenario1_restoration,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,122354.35630913381,9666.007524457018,125430.863485304,9894.388055583227,-3076.507176170184,13832.231073016665,-0.02452751333032671,0.11029470308345106,2.452751333032671,11.029470308345106
scenario1_restoration,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,15981.145438332755,2092.4123698496933,16239.360345045463,2134.8198858076667,-258.2149067127084,2989.255002561653,-0.015900558964533865,0.1840865443614146,1.5900558964533864,18.40865443614146
scenario1_restoration,Water Quality,pesticide application rate,Risk to Aquatic Organisms,kg per ha,382439.8916201204,16383.405798711623,392864.74040887435,16782.85648398727,-10424.848788753967,23453.78982866887,-0.026535465559735127,0.059710162569275686,2.653546555973513,5.971016256927569
scenario2_perennialexpand,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per 100ha,298943.9402827083,21491.11903669941,251375.7862059932,14421.872889551187,47568.15407671512,25881.626979229015,0.18923124933654017,0.10353070188011837,18.923124933654016,10.353070188011838
scenario2_perennialexpand,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee (thousands),38.48727663199474,0.5733275564218536,38.72684112935419,0.6138994828298515,-0.23956449735945284,0.8399863463005889,-0.006186006665487302,0.02169025167616809,-0.6186006665487302,2.1690251676168093
scenario2_perennialexpand,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),956471.5464054388,30431.946104233648,814558.3476816936,20702.285798169465,141913.19872374518,36806.08619454221,0.1742210353962278,0.045401762886715755,17.42210353962278,4.540176288671575
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,8116014.799203879,NA,8321171.617073545,NA,-205156.81786966603,NA,-0.024654799505483244,NA,-2.4654799505483243,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,8401764.48674947,NA,8500081.034859188,NA,-98316.54810971767,NA,-0.011566542449009296,NA,-1.1566542449009296,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,7401884.991234769,NA,7684861.429093509,NA,-282976.43785873987,NA,-0.03682258170426363,NA,-3.682258170426363,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,3466270.196140847,NA,3497526.95029796,NA,-31256.75415711291,NA,-0.008936815813370672,NA,-0.8936815813370672,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,3454433.730428542,NA,3721512.780561402,NA,-267079.05013285996,NA,-0.07176625901377941,NA,-7.176625901377941,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,24716616.958917223,NA,24808444.475219153,NA,-91827.51630192995,NA,-0.0037014620724671117,NA,-0.37014620724671116,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,19104837.3761424,NA,17327798.0473321,NA,1777039.3288103007,NA,0.1025542497642339,NA,10.25542497642339,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,1134713.5737917903,NA,1246455.7113711827,NA,-111742.13757939241,NA,-0.08964790049095989,NA,-8.964790049095988,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,2350637.659908748,NA,2343767.7604282484,NA,6869.899480499793,NA,0.002931134900176517,NA,0.2931134900176517,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,1055447.2313756822,NA,1030219.2613740552,NA,25227.970001626993,NA,0.02448796188102636,NA,2.448796188102636,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,1234145.5817872658,NA,1334311.198999474,NA,-100165.61721220822,NA,-0.07506915724556375,NA,-7.506915724556375,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,1436536.8692130498,NA,940626.8215512806,NA,495910.0476617692,NA,0.5272123187428517,NA,52.721231874285166,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,4227485.373562574,NA,4494040.929309527,NA,-266555.555746953,NA,-0.059313112617313674,NA,-5.931311261731367,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,1939951.0910770649,NA,2006790.830626525,NA,-66839.73954946012,NA,-0.033306779425832135,NA,-3.3306779425832134,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,2708288.148566377,NA,2968117.571044962,NA,-259829.42247858504,NA,-0.08754013823890033,NA,-8.754013823890034,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,3857785.3619578294,NA,3996614.964070326,NA,-138829.60211249674,NA,-0.034736796854482735,NA,-3.4736796854482734,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,1344537.3058491594,NA,1356283.114867662,NA,-11745.80901850271,NA,-0.008660292891465212,NA,-0.8660292891465212,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_win,Geese,ha,5007174.37425025,NA,4921122.132914599,NA,86052.2413356509,NA,0.017486304751531404,NA,1.7486304751531405,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,5026980.99934583,NA,5232194.561819236,NA,-205213.56247340608,NA,-0.03922131718321523,NA,-3.9221317183215234,NA
scenario2_perennialexpand,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,3339498.7676230157,NA,3489006.9881600924,NA,-149508.2205370767,NA,-0.042851224157598775,NA,-4.2851224157598775,NA
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Drought,ranking,1450625.498751125,14592.910154579678,1507272.8602507228,14103.556686813741,-56647.361499597784,20294.41642417449,-0.037582685254596133,0.013468919726397936,-3.7582685254596133,1.3468919726397937
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Flood,ranking,1563677.0877290955,14871.544644430036,1581784.7709105243,14696.507570171683,-18107.683181428816,20908.136570995255,-0.011447627714234139,0.013218494594272545,-1.1447627714234139,1.3218494594272545
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Heat,ranking,1792666.339715813,17098.770977320273,1860438.61864386,16156.901286155207,-67772.27892804705,23524.740765955612,-0.036428118750538876,0.012648685121376938,-3.6428118750538876,1.2648685121376937
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Salinity,ranking,1371816.1800001524,0,1444678.1100000096,0,-72861.92999985721,0,-0.050434715868891186,0,-5.043471586889119,0
scenario2_perennialexpand,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,128998.91559903901,9100.625756624524,125430.863485304,9894.388055583227,3568.052113735015,13443.225214084816,0.028446364910443774,0.10719986261819012,-2.8446364910443775,10.719986261819011
scenario2_perennialexpand,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,18735.59895719281,2066.7115256664374,16239.360345045463,2134.8198858076667,2496.2386121473482,2971.321671438882,0.15371532862801068,0.18408283815911164,-15.371532862801068,18.408283815911165
scenario2_perennialexpand,Water Quality,pesticide application rate,Risk to Aquatic Organisms,kg per ha,441990.2298667642,17850.193388624135,392864.74040887435,16782.85648398727,49125.48945788987,24500.891326100656,0.12504428217905855,0.06259305389834638,-12.504428217905856,6.259305389834638
