n,scenario,spp,value
7,baseline,BHGR,92340
7,baseline,COYE,390327
7,baseline,LAZB,61526
7,baseline,NUWO,21380
7,baseline,SOSP,988876
7,baseline,SPTO,267725
7,baseline,YBCH,222579
7,baseline,YEWA,64761
7,baseline,TOTAL,1500995
7,scenario1,ATFL,68597
7,scenario1,BHGR,154276
7,scenario1,COYE,427851
7,scenario1,LAZB,65907
7,scenario1,NUWO,56276
7,scenario1,SOSP,1056840
7,scenario1,SPTO,322664
7,scenario1,YBCH,228183
7,scenario1,YEWA,78011
7,scenario1,TOTAL,1620854
7,scenario2_alt,ATFL,31063
7,scenario2_alt,BHGR,81788
7,scenario2_alt,COYE,379332
7,scenario2_alt,LAZB,61554
7,scenario2_alt,NUWO,17158
7,scenario2_alt,SOSP,1009425
7,scenario2_alt,SPTO,332522
7,scenario2_alt,YBCH,237139
7,scenario2_alt,YEWA,96588
7,scenario2_alt,TOTAL,1604037
7,scenario3_alt,ATFL,65679
7,scenario3_alt,BHGR,154866
7,scenario3_alt,COYE,416326
7,scenario3_alt,LAZB,66756
7,scenario3_alt,NUWO,50878
7,scenario3_alt,SOSP,1107056
7,scenario3_alt,SPTO,396005
7,scenario3_alt,YBCH,238120
7,scenario3_alt,YEWA,105727
7,scenario3_alt,TOTAL,1730648
8,baseline,ATFL,73896
8,baseline,BHGR,63937
8,baseline,COYE,470060
8,baseline,LAZB,6379
8,baseline,NUWO,13059
8,baseline,SOSP,1296568
8,baseline,SPTO,488104
8,baseline,YBCH,1025
8,baseline,YEWA,27830
8,baseline,TOTAL,1818874
8,scenario1,ATFL,117630
8,scenario1,BHGR,133446
8,scenario1,COYE,524887
8,scenario1,LAZB,10130
8,scenario1,NUWO,36451
8,scenario1,SOSP,1333447
8,scenario1,SPTO,538860
8,scenario1,YBCH,1324
8,scenario1,YEWA,34389
8,scenario1,TOTAL,1911811
8,scenario2_alt,ATFL,64522
8,scenario2_alt,BHGR,56983
8,scenario2_alt,COYE,446942
8,scenario2_alt,LAZB,6367
8,scenario2_alt,NUWO,9735
8,scenario2_alt,SOSP,1282482
8,scenario2_alt,SPTO,625571
8,scenario2_alt,YBCH,594
8,scenario2_alt,YEWA,26537
8,scenario2_alt,TOTAL,1878218
8,scenario3_alt,ATFL,114346
8,scenario3_alt,BHGR,136118
8,scenario3_alt,COYE,497791
8,scenario3_alt,LAZB,10150
8,scenario3_alt,NUWO,30677
8,scenario3_alt,SOSP,1325707
8,scenario3_alt,SPTO,677868
8,scenario3_alt,YBCH,889
8,scenario3_alt,YEWA,34448
8,scenario3_alt,TOTAL,1968154
9,baseline,ATFL,56762
9,baseline,BHGR,43855
9,baseline,COYE,349568
9,baseline,LAZB,4637
9,baseline,NUWO,18203
9,baseline,SOSP,1301653
9,baseline,SPTO,508013
9,baseline,YBCH,3880
9,baseline,YEWA,112853
9,baseline,TOTAL,1699169
9,scenario1,ATFL,108500
9,scenario1,BHGR,92516
9,scenario1,COYE,396943
9,scenario1,LAZB,7592
9,scenario1,NUWO,58199
9,scenario1,SOSP,1378919
9,scenario1,SPTO,613749
9,scenario1,YBCH,4434
9,scenario1,YEWA,111211
9,scenario1,TOTAL,1828749
9,scenario2_alt,ATFL,48300
9,scenario2_alt,BHGR,39521
9,scenario2_alt,COYE,350241
9,scenario2_alt,LAZB,4018
9,scenario2_alt,NUWO,13270
9,scenario2_alt,SOSP,1474845
9,scenario2_alt,SPTO,603378
9,scenario2_alt,YBCH,3083
9,scenario2_alt,YEWA,104043
9,scenario2_alt,TOTAL,1884204
9,scenario3_alt,ATFL,112352
9,scenario3_alt,BHGR,95180
9,scenario3_alt,COYE,395546
9,scenario3_alt,LAZB,7130
9,scenario3_alt,NUWO,49843
9,scenario3_alt,SOSP,1546040
9,scenario3_alt,SPTO,723582
9,scenario3_alt,YBCH,3383
9,scenario3_alt,YEWA,106507
9,scenario3_alt,TOTAL,2004975
10,baseline,ATFL,42943
10,baseline,BHGR,53354
10,baseline,COYE,372710
10,baseline,LAZB,476065
10,baseline,NUWO,19143
10,baseline,SOSP,850215
10,baseline,SPTO,515806
10,baseline,YBCH,27547
10,baseline,YEWA,147572
10,baseline,TOTAL,1728257
10,scenario1,ATFL,81216
10,scenario1,BHGR,90471
10,scenario1,COYE,417137
10,scenario1,LAZB,483466
10,scenario1,NUWO,53760
10,scenario1,SOSP,879754
10,scenario1,SPTO,598805
10,scenario1,YBCH,27963
10,scenario1,YEWA,192652
10,scenario1,TOTAL,1837237
10,scenario2_alt,ATFL,35994
10,scenario2_alt,BHGR,44543
10,scenario2_alt,COYE,353175
10,scenario2_alt,LAZB,475523
10,scenario2_alt,NUWO,14669
10,scenario2_alt,SOSP,847900
10,scenario2_alt,SPTO,635197
10,scenario2_alt,YBCH,27064
10,scenario2_alt,YEWA,176800
10,scenario2_alt,TOTAL,1795678
10,scenario3_alt,ATFL,80606
10,scenario3_alt,BHGR,85530
10,scenario3_alt,COYE,399571
10,scenario3_alt,LAZB,481888
10,scenario3_alt,NUWO,47456
10,scenario3_alt,SOSP,881204
10,scenario3_alt,SPTO,731520
10,scenario3_alt,YBCH,27384
10,scenario3_alt,YEWA,223323
10,scenario3_alt,TOTAL,1911524
11,baseline,ATFL,41418
11,baseline,BHGR,55627
11,baseline,COYE,408109
11,baseline,LAZB,9451
11,baseline,NUWO,19114
11,baseline,SOSP,1497092
11,baseline,SPTO,352591
11,baseline,YBCH,3781
11,baseline,YEWA,248138
11,baseline,TOTAL,1984060
11,scenario1,ATFL,73368
11,scenario1,BHGR,103061
11,scenario1,COYE,456242
11,scenario1,LAZB,13864
11,scenario1,NUWO,61167
11,scenario1,SOSP,1523302
11,scenario1,SPTO,447114
11,scenario1,YBCH,3890
11,scenario1,YEWA,237070
11,scenario1,TOTAL,2075999
11,scenario2_alt,ATFL,37166
11,scenario2_alt,BHGR,48487
11,scenario2_alt,COYE,390450
