scenario,spp,METRIC_SUBTYPE,METRIC,n,value
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),8,120068
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),8,176161
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),8,196381
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),8,42126
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),8,5632
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),8,285589
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),9,89147
baseline,shore,Waterbird habitat,Shorebirds (fall),9,166382
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),9,199795
baseline,crane,Waterbird habitat,Cranes (fall),9,20650
baseline,geese,Waterbird habitat,Geese (fall),9,9706
baseline,TOTAL,Waterbird habitat,Total (fall),9,266551
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),9,131693
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),9,209608
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),9,247458
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),9,21546
scenario1_restoration,geese,Waterbird habitat,Geese (fall),9,9596
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),9,321367
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),9,83497
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),9,160427
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),9,184457
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),9,25793
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),9,12879
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),9,252405
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),9,125517
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),9,204804
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),9,231383
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),9,26232
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),9,12229
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),9,306865
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),10,74625
baseline,shore,Waterbird habitat,Shorebirds (fall),10,149293
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),10,191948
baseline,crane,Waterbird habitat,Cranes (fall),10,41245
baseline,geese,Waterbird habitat,Geese (fall),10,15344
baseline,TOTAL,Waterbird habitat,Total (fall),10,233944
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),10,115462
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),10,186419
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),10,243315
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),10,40917
scenario1_restoration,geese,Waterbird habitat,Geese (fall),10,16519
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),10,284528
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),10,71383
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),10,141743
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),10,184536
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),10,47788
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),10,29672
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),10,227776
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),10,112292
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),10,180307
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),10,237264
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),10,47177
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),10,40082
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),10,279200
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),11,99637
baseline,shore,Waterbird habitat,Shorebirds (fall),11,149088
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),11,198718
baseline,crane,Waterbird habitat,Cranes (fall),11,57052
baseline,geese,Waterbird habitat,Geese (fall),11,13087
baseline,TOTAL,Waterbird habitat,Total (fall),11,271222
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),11,149959
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),11,184608
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),11,236274
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),11,57548
scenario1_restoration,geese,Waterbird habitat,Geese (fall),11,14840
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),11,319292
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),11,89317
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),11,144753
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),11,186109
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),11,62366
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),11,23455
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),11,257883
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),11,135529
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),11,180722
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),11,220811
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),11,63332
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),11,32945
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),11,304653
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),12,101558
baseline,shore,Waterbird habitat,Shorebirds (fall),12,132568
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),12,180672
baseline,crane,Waterbird habitat,Cranes (fall),12,40038
baseline,geese,Waterbird habitat,Geese (fall),12,4037
baseline,TOTAL,Waterbird habitat,Total (fall),12,242819
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),12,144630
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),12,169850
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),12,207979
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),12,40719
scenario1_restoration,geese,Waterbird habitat,Geese (fall),12,4026
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),12,288568
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),12,98626
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),12,129305
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),12,167586
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),12,39587
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),12,5522
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),12,229255
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),12,141074
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),12,166664
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),12,191653
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),12,39241
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),12,5324
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),12,271637
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),13,84452
baseline,shore,Waterbird habitat,Shorebirds (fall),13,136236
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),13,258385
baseline,crane,Waterbird habitat,Cranes (fall),13,40920
baseline,geese,Waterbird habitat,Geese (fall),13,43423
baseline,TOTAL,Waterbird habitat,Total (fall),13,326338
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),13,122532
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),13,180619
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),13,287231
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),13,44201
scenario1_restoration,geese,Waterbird habitat,Geese (fall),13,46803
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),13,362082
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),13,83108
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),13,129953
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),13,231403
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),13,48542
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),13,65010
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),13,315524
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),13,121012
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),13,175070
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),13,263820
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),13,51981
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),13,83580
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),13,353222
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),14,85794
baseline,shore,Waterbird habitat,Shorebirds (fall),14,163434
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),14,133787
baseline,crane,Waterbird habitat,Cranes (fall),14,33384
baseline,geese,Waterbird habitat,Geese (fall),14,34783
baseline,TOTAL,Waterbird habitat,Total (fall),14,225183
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),14,134275
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),14,197650
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),14,155045
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),14,33082
scenario1_restoration,geese,Waterbird habitat,Geese (fall),14,38770
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),14,269287
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),14,81892
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),14,156260
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),14,121011
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),14,32639
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),14,47724
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),14,211216
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),14,127367
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),14,191342
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),14,144513
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),14,33192
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),14,54700
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),14,254594
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),15,79628
baseline,shore,Waterbird habitat,Shorebirds (fall),15,170917
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),15,313040
baseline,crane,Waterbird habitat,Cranes (fall),15,30967
baseline,geese,Waterbird habitat,Geese (fall),15,22311
baseline,TOTAL,Waterbird habitat,Total (fall),15,349674
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),15,117150
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),15,225775
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),15,348556
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),15,33863
scenario1_restoration,geese,Waterbird habitat,Geese (fall),15,22085
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),15,395051
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),15,78882
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),15,161630
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),15,287310
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),15,36059
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),15,29835
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),15,332728
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),15,116705
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),15,220105
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),15,325572
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),15,38352
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),15,29110
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),15,379512
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),16,149810
baseline,shore,Waterbird habitat,Shorebirds (fall),16,153789
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),16,245798
baseline,crane,Waterbird habitat,Cranes (fall),16,52279
baseline,geese,Waterbird habitat,Geese (fall),16,80264
baseline,TOTAL,Waterbird habitat,Total (fall),16,333617
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),16,198920
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),16,187860
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),16,282803
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),16,57768
scenario1_restoration,geese,Waterbird habitat,Geese (fall),16,84893
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),16,378018
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),16,129380
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),16,146568
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),16,226923
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),16,61525
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),16,129798
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),16,329447
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),16,180803
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),16,182054
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),16,267200
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),16,67971
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),16,148930
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),16,381685
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),17,106242
baseline,shore,Waterbird habitat,Shorebirds (fall),17,155893
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),17,54342
baseline,crane,Waterbird habitat,Cranes (fall),17,72254
baseline,geese,Waterbird habitat,Geese (fall),17,34866
baseline,TOTAL,Waterbird habitat,Total (fall),17,216604
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),17,145690
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),17,190898
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),17,71420
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),17,72288
scenario1_restoration,geese,Waterbird habitat,Geese (fall),17,39331
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),17,250480
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),17,102501
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),17,149497
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),17,45888
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),17,76930
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),17,51220
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),17,214077
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),17,142558
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),17,185046
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),17,58868
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),17,75802
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),17,58395
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),17,248202
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),18,69719
baseline,shore,Waterbird habitat,Shorebirds (fall),18,154373
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),18,38151
baseline,crane,Waterbird habitat,Cranes (fall),18,41442
baseline,geese,Waterbird habitat,Geese (fall),18,9377
baseline,TOTAL,Waterbird habitat,Total (fall),18,209081
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),18,110850
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),18,193255
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),18,47406
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),18,42369
scenario1_restoration,geese,Waterbird habitat,Geese (fall),18,10540
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),18,248387
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),18,65944
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),18,148087
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),18,37918
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),18,44709
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),18,12659
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),18,202827
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),18,107674
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),18,187880
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),18,45048
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),18,45667
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),18,13615
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),18,242009
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),19,82169
baseline,shore,Waterbird habitat,Shorebirds (fall),19,157842
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),19,350332
baseline,crane,Waterbird habitat,Cranes (fall),19,68332
baseline,geese,Waterbird habitat,Geese (fall),19,26224
baseline,TOTAL,Waterbird habitat,Total (fall),19,380982
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),19,119791
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),19,193166
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),19,407905
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),19,68138
scenario1_restoration,geese,Waterbird habitat,Geese (fall),19,31183
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),19,434178
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),19,81881
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),19,150512
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),19,326578
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),19,74335
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),19,39991
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),19,361740
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),19,119612
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),19,186694
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),19,387134
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),19,75052
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),19,58605
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),19,417469
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),20,106967
baseline,shore,Waterbird habitat,Shorebirds (fall),20,162356
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),20,128791
baseline,crane,Waterbird habitat,Cranes (fall),20,49929
baseline,geese,Waterbird habitat,Geese (fall),20,12926
baseline,TOTAL,Waterbird habitat,Total (fall),20,236788
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),20,148258
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),20,198259
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),20,152212
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),20,52279
scenario1_restoration,geese,Waterbird habitat,Geese (fall),20,15502
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),20,276137
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),20,99805
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),20,157026
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),20,121631
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),20,49443
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),20,23471
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),20,227768
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),20,140611
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),20,194406
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),20,146439
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),20,51691
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),20,27599
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),20,269133
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),21,67177
baseline,shore,Waterbird habitat,Shorebirds (fall),21,150886
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),21,262683
baseline,crane,Waterbird habitat,Cranes (fall),21,24900
baseline,geese,Waterbird habitat,Geese (fall),21,34149
baseline,TOTAL,Waterbird habitat,Total (fall),21,309803
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),21,110294
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),21,185918
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),21,334676
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),21,27197
scenario1_restoration,geese,Waterbird habitat,Geese (fall),21,41882
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),21,377192
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),21,63727
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),21,147794
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),21,247578
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),21,31979
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),21,46519
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),21,296169
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),21,106998
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),21,183106
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),21,321693
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),21,34354
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),21,67231
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),21,365711
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),22,87708
baseline,shore,Waterbird habitat,Shorebirds (fall),22,177385
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),22,230919
baseline,crane,Waterbird habitat,Cranes (fall),22,78568
baseline,geese,Waterbird habitat,Geese (fall),22,8726
baseline,TOTAL,Waterbird habitat,Total (fall),22,319482
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),22,131677
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),22,213834
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),22,309848
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),22,80480
scenario1_restoration,geese,Waterbird habitat,Geese (fall),22,8805
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),22,386308
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),22,77789
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),22,168463
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),22,222044
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),22,76125
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),22,11149
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),22,306197
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),22,121426
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),22,206401
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),22,298883
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),22,78239
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),22,12287
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),22,371802
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),23,88392
baseline,shore,Waterbird habitat,Shorebirds (fall),23,143636
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),23,220706
baseline,crane,Waterbird habitat,Cranes (fall),23,48098
baseline,geese,Waterbird habitat,Geese (fall),23,6949
baseline,TOTAL,Waterbird habitat,Total (fall),23,293252
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),23,127377
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),23,178320
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),23,282369
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),23,51648
scenario1_restoration,geese,Waterbird habitat,Geese (fall),23,6791
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),23,353259
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),23,86390
scenario2_perennialexpand_alt,shore,Waterbird habitat,Shorebirds (fall),23,138806
scenario2_perennialexpand_alt,cicon,Waterbird habitat,Herons/Egrets (fall),23,226004
scenario2_perennialexpand_alt,crane,Waterbird habitat,Cranes (fall),23,48304
scenario2_perennialexpand_alt,geese,Waterbird habitat,Geese (fall),23,10032
scenario2_perennialexpand_alt,TOTAL,Waterbird habitat,Total (fall),23,288753
scenario3_combo_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),23,125416
scenario3_combo_alt,shore,Waterbird habitat,Shorebirds (fall),23,173878
scenario3_combo_alt,cicon,Waterbird habitat,Herons/Egrets (fall),23,292904
scenario3_combo_alt,crane,Waterbird habitat,Cranes (fall),23,53100
scenario3_combo_alt,geese,Waterbird habitat,Geese (fall),23,9921
scenario3_combo_alt,TOTAL,Waterbird habitat,Total (fall),23,354972
baseline,dblr,Waterbird habitat,Dabbling Ducks (fall),24,92224
baseline,shore,Waterbird habitat,Shorebirds (fall),24,179337
baseline,cicon,Waterbird habitat,Herons/Egrets (fall),24,191005
baseline,crane,Waterbird habitat,Cranes (fall),24,49445
baseline,geese,Waterbird habitat,Geese (fall),24,8039
baseline,TOTAL,Waterbird habitat,Total (fall),24,234772
scenario1_restoration,dblr,Waterbird habitat,Dabbling Ducks (fall),24,137194
scenario1_restoration,shore,Waterbird habitat,Shorebirds (fall),24,213453
scenario1_restoration,cicon,Waterbird habitat,Herons/Egrets (fall),24,228219
scenario1_restoration,crane,Waterbird habitat,Cranes (fall),24,48836
scenario1_restoration,geese,Waterbird habitat,Geese (fall),24,8033
scenario1_restoration,TOTAL,Waterbird habitat,Total (fall),24,272490
scenario2_perennialexpand_alt,dblr,Waterbird habitat,Dabbling Ducks (fall),24,82145
