scenario,spp,METRIC_SUBTYPE,METRIC,n,value
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,6,426418
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,6,16248
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,6,839335
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,6,407916
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,6,108
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,6,30839
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,6,1627258
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,6,79965
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,6,66000
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,6,367524
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,6,415323
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,6,53209
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,6,989746
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,6,453678
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,6,112
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,6,48997
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,6,1787408
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,7,36885
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,7,92340
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,7,390327
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,7,61526
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,7,21380
baseline,SOSP,Riparian landbird habitat,Song Sparrow,7,988876
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,7,267725
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,7,222579
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,7,64761
baseline,TOTAL,Riparian landbird habitat,Total,7,1500995
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,7,68597
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,7,154276
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,7,427851
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,7,65907
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,7,56276
