n,scenario,spp,value
22,scenario1,TOTAL,643465
22,scenario2_alt,dblr,209590
22,scenario2_alt,shore,198809
22,scenario2_alt,cicon,416303
22,scenario2_alt,crane,94839
22,scenario2_alt,geese,311536
22,scenario2_alt,divduck,105863
22,scenario2_alt,TOTAL,609550
22,scenario3_alt,dblr,248367
22,scenario3_alt,shore,234573
22,scenario3_alt,cicon,454472
22,scenario3_alt,crane,91838
22,scenario3_alt,geese,320598
22,scenario3_alt,divduck,125570
22,scenario3_alt,TOTAL,637039
23,baseline,dblr,279375
23,baseline,shore,256301
23,baseline,cicon,726616
23,baseline,crane,165407
23,baseline,geese,100155
23,baseline,divduck,131014
23,baseline,TOTAL,786146
23,scenario1,dblr,316535
23,scenario1,shore,288961
23,scenario1,cicon,748809
23,scenario1,crane,163175
23,scenario1,geese,116374
23,scenario1,divduck,158960
23,scenario1,TOTAL,806744
23,scenario2_alt,dblr,271898
23,scenario2_alt,shore,250343
23,scenario2_alt,cicon,700676
23,scenario2_alt,crane,163834
23,scenario2_alt,geese,133653
23,scenario2_alt,divduck,127185
23,scenario2_alt,TOTAL,745439
23,scenario3_alt,dblr,308620
23,scenario3_alt,shore,283130
23,scenario3_alt,cicon,724523
23,scenario3_alt,crane,162242
23,scenario3_alt,geese,150307
23,scenario3_alt,divduck,154437
23,scenario3_alt,TOTAL,765962
24,baseline,dblr,222749
24,baseline,shore,234802
24,baseline,cicon,363341
24,baseline,crane,118539
24,baseline,geese,101098
24,baseline,divduck,106235
24,baseline,TOTAL,496982
24,scenario1,dblr,260811
24,scenario1,shore,250238
24,scenario1,cicon,368719
24,scenario1,crane,116964
24,scenario1,geese,100571
24,scenario1,divduck,133176
24,scenario1,TOTAL,503772
24,scenario2_alt,dblr,214366
24,scenario2_alt,shore,232045
24,scenario2_alt,cicon,376855
24,scenario2_alt,crane,121311
24,scenario2_alt,geese,119480
24,scenario2_alt,divduck,105772
24,scenario2_alt,TOTAL,500516
24,scenario3_alt,dblr,252889
24,scenario3_alt,shore,243267
24,scenario3_alt,cicon,374037
24,scenario3_alt,crane,118974
24,scenario3_alt,geese,119627
24,scenario3_alt,divduck,131382
24,scenario3_alt,TOTAL,501352
25,baseline,dblr,237267
25,baseline,shore,331212
25,baseline,cicon,596734
25,baseline,crane,151114
25,baseline,geese,218108
25,baseline,divduck,129196
25,baseline,TOTAL,681460
25,scenario1,dblr,275665
25,scenario1,shore,356457
25,scenario1,cicon,629893
25,scenario1,crane,144231
25,scenario1,geese,226024
25,scenario1,divduck,158661
25,scenario1,TOTAL,714220
25,scenario2_alt,dblr,230990
25,scenario2_alt,shore,341604
25,scenario2_alt,cicon,578782
25,scenario2_alt,crane,153507
25,scenario2_alt,geese,219844
25,scenario2_alt,divduck,128929
25,scenario2_alt,TOTAL,650055
25,scenario3_alt,dblr,268968
25,scenario3_alt,shore,372287
25,scenario3_alt,cicon,607060
25,scenario3_alt,crane,143556
25,scenario3_alt,geese,227410
25,scenario3_alt,divduck,156789
25,scenario3_alt,TOTAL,678802
26,baseline,dblr,206627
26,baseline,shore,280038
26,baseline,cicon,366074
