scenario,county,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,618114.0468603828
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,4348849.849266559
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,4338233.639285962
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,12129799.595932828
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,2368643.117413132
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,1802735.2578773682
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,2404069.4703911124
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,3611370.3365571382
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,7732492.27382237
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,1536629.4067748098
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,2936913.1469460414
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,164966.47715709277
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,184371.50986544375
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,636372.8645989568
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,139712.00007375123
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,95639.20498023638
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,386006.3395999786
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,384405.0323661417
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,905103.058507604
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,372871.13213965466
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,322677.18294589885
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,983224.8344696852
scenario2_perennialexpand,Sacramento,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,1236348.2920276518
