scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario1_restoration,Sacramento,WETLAND_TIDAL,Tidal Wetland,1042.2,1042.2,0,0,0
scenario1_restoration,Sacramento,WOODLAND,Woodland,148.5,168.93,-20.430000000000007,-0.12093766648907835,-12.093766648907835
scenario1_restoration,San Joaquin,BARREN,Barren,149.04,161.73,-12.689999999999998,-0.07846410684474123,-7.846410684474122
scenario1_restoration,San Joaquin,FIELD_CORN,Corn,20597.67,20821.77,-224.10000000000218,-0.010762773769953379,-1.0762773769953378
scenario1_restoration,San Joaquin,FIELD_OTHER,Other Field Crops,2565.63,2676.6,-110.9699999999998,-0.04145931405514451,-4.145931405514451
scenario1_restoration,San Joaquin,GRAIN&HAY_OTHER,Other Grains,2574.9,2597.4,-22.5,-0.008662508662508662,-0.8662508662508662
scenario1_restoration,San Joaquin,GRAIN&HAY_WHEAT,Wheat,6064.29,6184.71,-120.42000000000007,-0.0194705976513046,-1.94705976513046
scenario1_restoration,San Joaquin,GRASSLAND,Grassland,5026.41,5516.55,-490.1400000000003,-0.08884900889142676,-8.884900889142676
scenario1_restoration,San Joaquin,IDLE,Idle,13847.31,14213.97,-366.65999999999985,-0.025795748830200138,-2.5795748830200136
scenario1_restoration,San Joaquin,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,577.7099999999999,577.7099999999999,0,0,0
scenario1_restoration,San Joaquin,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,10231.199999999999,10368.539999999999,-137.34000000000015,-0.013245837890387668,-1.3245837890387668
scenario1_restoration,San Joaquin,PASTURE_ALFALFA,Alfalfa,11116.89,11286.18,-169.29000000000087,-0.014999760769365798,-1.4999760769365797
scenario1_restoration,San Joaquin,PASTURE_OTHER,Other Pasture,3840.12,3944.8799999999997,-104.75999999999976,-0.026555940865121315,-2.6555940865121315
scenario1_restoration,San Joaquin,RICE,Rice,1211.3999999999999,1211.3999999999999,0,0,0
scenario1_restoration,San Joaquin,RIPARIAN,Riparian,4969.17,2964.24,2004.9300000000003,0.6763723585134809,67.6372358513481
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,161.1,125.46,35.64,0.2840746054519369,28.40746054519369
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,1172.7,686.3399999999999,486.3600000000001,0.708628376606347,70.86283766063471
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1461.69,652.23,809.46,1.2410652683869188,124.10652683869188
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_SALIX,Riparian - Willow,542.0699999999999,391.14,150.92999999999995,0.3858720662678324,38.587206626783235
scenario1_restoration,San Joaquin,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,192.6,192.6,0,0,0
scenario1_restoration,San Joaquin,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,51.93,51.93,0,0,0
scenario1_restoration,San Joaquin,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,1387.08,864.54,522.54,0.6044139079741828,60.44139079741828
scenario1_restoration,San Joaquin,ROW,Row Crops,12292.56,12461.31,-168.75,-0.013541914935107145,-1.3541914935107144
scenario1_restoration,San Joaquin,SCRUB,Scrub,28.169999999999998,28.169999999999998,0,0,0
scenario1_restoration,San Joaquin,URBAN,Urban,16701.75,16702.11,-0.3600000000005821,-2.1554162917175258e-5,-0.002155416291717526
scenario1_restoration,San Joaquin,VINEYARD,Vineyard,5043.0599999999995,5103.8099999999995,-60.75,-0.011902872559911126,-1.1902872559911126
scenario1_restoration,San Joaquin,WATER,Water,7714.98,7714.98,0,0,0
scenario1_restoration,San Joaquin,WETLAND_MANAGED,Managed Wetland,369.63,339.75,29.879999999999995,0.08794701986754966,8.794701986754966
