scenario,county,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCENARIO,SCENARIO_SE,BASELINE,BASELINE_SE,net_change,net_change_se,change_prop,change_prop_se,change_pct,change_pct_se
scenario1_restoration,Contra Costa & Alameda,Climate Change Resilience,climate change resilience,Heat,ranking,258284.4691918737,9714.437296533011,258577.91420353416,9727.369480870873,-293.44501166045666,13747.436452140802,-0.0011348417461109134,0.05316556491913209,-0.11348417461109134,5.316556491913209
scenario1_restoration,Contra Costa & Alameda,Climate Change Resilience,climate change resilience,Overall,ranking,234025.27229851676,5275.963407680974,234263.27645570147,5283.595533449481,-238.0041571847105,7466.7376839069375,-0.0010159687031856075,0.03187328260083198,-0.10159687031856075,3.1873282600831976
scenario1_restoration,Contra Costa & Alameda,Climate Change Resilience,climate change resilience,Salinity,ranking,271437.8732859716,0,271620.6107932329,0,-182.73750726133585,0,-6.727674557820725e-4,0,-0.06727674557820724,0
scenario1_restoration,Contra Costa & Alameda,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,10575.186534606042,739.9905760257193,10575.280870547276,739.9950702892028,-0.09433594123402145,1046.507886572862,-8.920419456352416e-6,0.09895792834290211,8.920419456352417e-4,9.89579283429021
scenario1_restoration,Contra Costa & Alameda,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,1314.2119461667587,222.81353551991924,1314.2470657426973,222.82503226341612,-0.03511957593855186,315.11405334272024,-2.672220228142975e-5,0.23976774353374888,0.0026722202281429753,23.97677435337489
scenario1_restoration,Contra Costa & Alameda,Water Quality,pesticide application rate,Risk to Aquatic Organisms,kg per ha,30808.043926737526,1322.66971656748,30809.15767396046,1322.6813429513713,-1.1137472229347622,1870.545672822864,-3.6149875784370706e-5,0.060713950482812,0.0036149875784370704,6.0713950482812
scenario1_restoration,Sacramento,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per ha,351.51420438440243,24.393280627506574,363.484755677433,24.886000985117693,-11.970551293030553,34.84745593014741,-0.03293274643862526,0.09589698486146216,-3.293274643862526,9.589698486146215
scenario1_restoration,Sacramento,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee,38414.81628566983,622.9876225510653,38500.266218712044,627.5812070487708,-85.44993304221134,884.2916652850579,-0.0022194634332341483,0.02296848435463338,-0.22194634332341484,2.296848435463338
scenario1_restoration,Sacramento,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),131326.12303943117,3555.376333791946,134565.04276763787,3626.749952743213,-3238.9197282067034,5078.780965409983,-0.02406954779332664,0.03774777619357976,-2.406954779332664,3.774777619357976
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Grassland,ranking,73074.42290371656,NA,83464.02331656218,NA,-10389.600412845612,NA,-0.12447998550752767,NA,-12.447998550752768,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Oak Savannah,ranking,45489.06180757284,NA,50906.70202285051,NA,-5417.640215277672,NA,-0.10642292664816222,NA,-10.642292664816221,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Riparian,ranking,15361.83061042428,NA,16709.490663975477,NA,-1347.660053551197,NA,-0.08065237179590759,NA,-8.06523717959076,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Other Waterbirds,ranking,11264.130447596312,NA,13990.230555921793,NA,-2726.1001083254814,NA,-0.1948574112076785,NA,-19.485741120767848,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Shorebirds,ranking,11264.130447596312,NA,13990.230555921793,NA,-2726.1001083254814,NA,-0.1948574112076785,NA,-19.485741120767848,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Waterfowl,ranking,96451.92383265495,NA,109784.88436245918,NA,-13332.96052980423,NA,-0.12144623194013601,NA,-12.144623194013601,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Other Waterbirds,ranking,82249.29326829314,NA,87577.38348001242,NA,-5328.0902117192745,NA,-0.060838654912946696,NA,-6.083865491294669,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Shorebirds,ranking,91450.173633903265,NA,97067.70385712385,NA,-5617.530223220587,NA,-0.057872289134284625,NA,-5.7872289134284625,NA
scenario1_restoration,Sacramento,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Waterfowl,ranking,91755.81364604831,NA,97673.22388118505,NA,-5917.410235136747,NA,-0.06058375059202512,NA,-6.058375059202512,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,1403156.0849894874,NA,1297404.5394466983,NA,105751.54554278916,NA,0.0815100782581575,NA,8.15100782581575,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1738461.218537142,NA,1585590.540953229,NA,152870.6775839131,NA,0.0964124555712914,NA,9.641245557129139,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1502389.4765970402,NA,1410450.6593885315,NA,91938.81720850873,NA,0.0651840010116814,NA,6.518400101168139,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,504253.1122566098,NA,471538.0152515653,NA,32715.09700504446,NA,0.06937955360309808,NA,6.937955360309808,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,691088.8280015646,NA,599837.1050848109,NA,91251.72291675373,NA,0.15212750618995413,NA,15.212750618995413,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,4338233.639285962,NA,4285164.790940533,NA,53068.848345428705,NA,0.012384319141617152,NA,1.238431914161715,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,3611370.3365571382,NA,3405389.153350538,NA,205981.18320660014,NA,0.06048682659482154,NA,6.048682659482154,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,184371.50986544375,NA,185534.70521230873,NA,-1163.195346864988,NA,-0.006269421915074784,NA,-0.6269421915074784,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,384405.0323661417,NA,365230.5421613778,NA,19174.49020476389,NA,0.05249968989803598,NA,5.249968989803598,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,348231.864624367,NA,333762.6273296256,NA,14469.237294741382,NA,0.043351879779072726,NA,4.335187977907273,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,431945.970827993,NA,264053.73226019245,NA,167892.23856780055,NA,0.6358260386274844,NA,63.58260386274844,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,173989.98903997967,NA,155511.6040085132,NA,18478.38503146646,NA,0.11882319103630937,NA,11.882319103630937,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,838740.09991818,NA,785495.4619215594,NA,53244.637996620615,NA,0.06778478117030508,NA,6.778478117030508,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,466601.9515829161,NA,335656.5229641481,NA,130945.428618768,NA,0.39011733620548306,NA,39.011733620548306,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,676804.7772006443,NA,720900.4360606687,NA,-44095.658860024414,NA,-0.061167474250651534,NA,-6.116747425065153,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,714713.8358386648,NA,591066.5265455532,NA,123647.30929311155,NA,0.20919355730692374,NA,20.919355730692374,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,223474.95977151624,NA,165114.08810593744,NA,58360.8716655788,NA,0.35345785653453377,NA,35.345785653453376,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_win,Geese,ha,979981.9522095534,NA,989731.597538427,NA,-9749.645328873536,NA,-0.009850797279911032,NA,-0.9850797279911031,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,878958.481756515,NA,803334.0353114738,NA,75624.44644504122,NA,0.09413823281584183,NA,9.413823281584182,NA
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,675574.377473837,NA,599796.9054992001,NA,75777.4719746369,NA,0.1263385510659957,NA,12.63385510659957,NA
scenario1_restoration,Sacramento,Climate Change Resilience,climate change resilience,Drought,ranking,198910.11665397757,12512.06035966577,211669.21216097847,12998.331583695413,-12759.095507000893,18041.84797640234,-0.0602784664653892,0.08531639098283633,-6.02784664653892,8.531639098283634
scenario1_restoration,Sacramento,Climate Change Resilience,climate change resilience,Flood,ranking,201652.78380841593,13573.697575590068,216782.07418232717,14114.247625809383,-15129.290373911237,19582.06454683074,-0.06979032021432993,0.09044485887253187,-6.979032021432993,9.044485887253186
scenario1_restoration,Sacramento,Climate Change Resilience,climate change resilience,Heat,ranking,235860.3672293914,14899.036733879653,252512.34628393874,15431.898070454141,-16651.979054547322,21450.519193119348,-0.06594520743085934,0.08504394318377456,-6.594520743085934,8.504394318377456
scenario1_restoration,Sacramento,Climate Change Resilience,climate change resilience,Overall,ranking,207930.28448805618,7907.649010890899,222325.5039764669,8207.801763222637,-14395.219488410716,11397.32085464845,-0.06474839472278648,0.051319817750948224,-6.474839472278648,5.131981775094823
scenario1_restoration,Sacramento,Climate Change Resilience,climate change resilience,Salinity,ranking,195297.8702604398,0,208338.38327862322,0,-13040.51301818341,0,-0.06259294525072494,0,-6.259294525072494,0
scenario1_restoration,Sacramento,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,16467.592331500295,1227.7590713081086,17121.5638034733,1270.2344587126292,-653.9714719730036,1766.6034974720037,-0.0381957792804147,0.10321893667252253,3.8195779280414697,10.321893667252253
scenario1_restoration,Sacramento,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,2951.854905314159,289.48774964787066,2994.1522359578125,296.31821501173386,-42.29733064365337,414.2555271133125,-0.014126646646650112,0.13836192793586233,1.4126646646650112,13.836192793586232
scenario1_restoration,Sacramento,Water Quality,pesticide application rate,Risk to Aquatic Organisms,kg per ha,52457.22850780328,2164.1605443861395,54764.95186061751,2237.2525239895945,-2307.7233528142315,3112.6981411591332,-0.04213869042901064,0.056863475070364225,4.213869042901064,5.686347507036422
scenario1_restoration,San Joaquin,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per ha,1462.5491200551814,92.19406496700255,1481.99026033429,93.43293798167889,-19.441140279108595,131.26103578376996,-0.013118264538879824,0.08857464295659696,-1.3118264538879825,8.857464295659696
scenario1_restoration,San Joaquin,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee,38374.917506793616,647.4447104210458,38380.170228517185,646.6502063082322,-5.252721723569266,915.0634635754348,-1.3686030291930272e-4,0.023842089871066244,-0.013686030291930272,2.3842089871066245
scenario1_restoration,San Joaquin,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),451591.16417203593,13112.272145523424,457744.73382659274,13288.166284959236,-6153.569654556806,18668.343366110363,-0.01344323418669402,0.04078517270351002,-1.344323418669402,4.078517270351003
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Grassland,ranking,137651.0454697609,NA,144229.68573117256,NA,-6578.640261411667,NA,-0.0456122484637004,NA,-4.56122484637004,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Oak Savannah,ranking,88795.53352841735,NA,92447.46367353201,NA,-3651.9301451146603,NA,-0.039502761893079594,NA,-3.950276189307959,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Riparian,ranking,30356.011206239462,NA,31258.801242113113,NA,-902.7900358736515,NA,-0.028881147068985372,NA,-2.8881147068985373,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Other Waterbirds,ranking,34987.41139027476,NA,35781.751421839,NA,-794.3400315642357,NA,-0.02219958498396529,NA,-2.219958498396529,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Shorebirds,ranking,34987.41139027476,NA,35781.751421839,NA,-794.3400315642357,NA,-0.02219958498396529,NA,-2.219958498396529,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Waterfowl,ranking,227187.99902763963,NA,235036.98933953047,NA,-7848.9903118908405,NA,-0.03339470239959686,NA,-3.3394702399596863,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Other Waterbirds,ranking,264461.50050875545,NA,267919.4806461632,NA,-3457.9801374077797,NA,-0.01290678874514047,NA,-1.2906788745140472,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Shorebirds,ranking,308929.0622757375,NA,313064.2024400532,NA,-4135.1401643157005,NA,-0.013208601085930652,NA,-1.3208601085930651,NA
scenario1_restoration,San Joaquin,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Waterfowl,ranking,299018.2618819177,NA,303047.922042042,NA,-4029.660160124302,NA,-0.013297105398285044,NA,-1.3297105398285043,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,4281938.816044397,NA,3922613.52221585,NA,359325.29382854654,NA,0.09160354233051407,NA,9.160354233051407,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,4066619.170144118,NA,3689816.0756910844,NA,376803.0944530335,NA,0.10211974979876474,NA,10.211974979876475,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,2551271.4710779074,NA,2446191.5130781634,NA,105079.95799974399,NA,0.042956554071073814,NA,4.295655407107382,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,1600341.7430282468,NA,1553516.2864489688,NA,46825.45657927799,NA,0.030141593614259256,NA,3.0141593614259254,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,2068294.3670519318,NA,1803504.4401706404,NA,264789.92688129144,NA,0.1468196700731372,NA,14.68196700731372,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,12129799.595932828,NA,12092639.707067113,NA,37159.88886571489,NA,0.0030729344267156258,NA,0.30729344267156256,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,7732492.27382237,NA,7372971.998110968,NA,359520.2757114023,NA,0.048761920675070396,NA,4.87619206750704,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,636372.8645989568,NA,646641.5184171146,NA,-10268.65381815785,NA,-0.015879979131705056,NA,-1.5879979131705055,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,905103.058507604,NA,904678.7623225402,NA,424.2961850637803,NA,4.690020399887627e-4,NA,0.04690020399887627,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,529381.4037323231,NA,538220.7565498202,NA,-8839.3528174971,NA,-0.0164232848880827,NA,-1.64232848880827,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,184372.63714289293,NA,181116.33923940567,NA,3256.297903487255,NA,0.017979039975973516,NA,1.7979039975973516,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,397402.79701909365,NA,416640.6822699666,NA,-19237.885250872932,NA,-0.04617380411835911,NA,-4.617380411835911,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,1297887.3875690831,NA,1308541.2824749947,NA,-10653.894905911526,NA,-0.008141810310913988,NA,-0.8141810310913988,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,414738.5906075645,NA,411014.9118530875,NA,3723.678754477005,NA,0.009059716927759523,NA,0.9059716927759522,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,1710002.9361235185,NA,1719494.5896931821,NA,-9491.653569663642,NA,-0.00552002526007208,NA,-0.552002526007208,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,2116398.0213041003,NA,2095342.6014524677,NA,21055.419851632556,NA,0.010048676448919226,NA,1.0048676448919225,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,554240.8617813224,NA,562388.0882831698,NA,-8147.2265018473845,NA,-0.014486840442724934,NA,-1.4486840442724933,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Geese,ha,2573172.9042311823,NA,2564959.753034088,NA,8213.15119709447,NA,0.0032020585069138584,NA,0.32020585069138585,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,2365004.554635783,NA,2372467.3236156506,NA,-7462.768979867455,NA,-0.0031455729255289223,NA,-0.3145572925528922,NA
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,1816616.0907921228,NA,1800730.2895569296,NA,15885.801235193154,NA,0.008821865954785412,NA,0.8821865954785412,NA
scenario1_restoration,San Joaquin,Climate Change Resilience,climate change resilience,Drought,ranking,629786.1012754502,35978.36472296302,642793.2917923095,36508.34714929587,-13007.190516859293,51257.21548925624,-0.020235417330804997,0.07974964843458916,-2.0235417330804997,7.974964843458916
scenario1_restoration,San Joaquin,Climate Change Resilience,climate change resilience,Flood,ranking,600060.3797533471,38373.4899728698,614103.3625840924,38875.31633313578,-14042.982830745284,54624.307342970606,-0.02286745796612098,0.0889614745869551,-2.286745796612098,8.89614745869551
scenario1_restoration,San Joaquin,Climate Change Resilience,climate change resilience,Heat,ranking,751655.6655823971,40789.5814674072,767027.6404789388,41356.62139951558,-15371.97489654168,58087.52094786899,-0.020040966042557846,0.07573838369341165,-2.0040966042557846,7.573838369341165
scenario1_restoration,San Joaquin,Climate Change Resilience,climate change resilience,Overall,ranking,674756.7187807661,22187.97826933099,688451.8153395707,22495.727409536987,-13695.096558804624,31596.900660737247,-0.019892599966563642,0.045900190396716174,-1.9892599966563642,4.590019039671618
scenario1_restoration,San Joaquin,Climate Change Resilience,climate change resilience,Salinity,ranking,717524.7285118699,0,729882.9665029421,0,-12358.237991072237,0,-0.016931807643468855,0,-1.6931807643468855,0
scenario1_restoration,San Joaquin,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,74496.35783093548,5759.991110231574,75525.94524569312,5846.074233648729,-1029.5874147576396,8206.953243151707,-0.013632234742753544,0.1086691487770072,1.3632234742753544,10.86691487770072
scenario1_restoration,San Joaquin,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,8174.868105912828,1207.9513789769144,8278.012493475673,1225.4337725315404,-103.14438756284562,1720.707547735266,-0.01246004250949597,0.20787300012524357,1.246004250949597,20.787300012524355
