scenario,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change
scenario2_perennialexpand_alt,WETLAND_MANAGED,Managed Wetland,6004.62,6009.119999999999,-4.4999999999990905
scenario2_perennialexpand_alt,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,935.37,939.5999999999999,-4.2299999999999045
scenario2_perennialexpand_alt,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,5069.25,5069.5199999999995,-0.26999999999952706
scenario2_perennialexpand_alt,WETLAND_OTHER,Other Wetland,10096.56,10498.14,-401.5799999999999
scenario2_perennialexpand_alt,WETLAND_TIDAL,Tidal Wetland,3548.7,3558.87,-10.170000000000073
scenario2_perennialexpand_alt,WOODLAND,Woodland,705.9599999999999,762.66,-56.700000000000045
scenario3_combo,BARREN,Barren,173.51999999999998,190.53,-17.01000000000002
scenario3_combo,FIELD_CORN,Corn,31938.48,34879.409999999996,-2940.9299999999967
scenario3_combo,FIELD_OTHER,Other Field Crops,6870.33,8005.679999999999,-1135.3499999999995
scenario3_combo,GRAIN&HAY_OTHER,Other Grains,6973.65,7840.44,-866.79
scenario3_combo,GRAIN&HAY_WHEAT,Wheat,10006.109999999999,11669.58,-1663.4700000000012
scenario3_combo,GRASSLAND,Grassland,18606.87,20491.739999999998,-1884.869999999999
scenario3_combo,IDLE,Idle,22260.42,26609.309999999998,-4348.889999999999
scenario3_combo,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,783,643.77,139.23000000000002
scenario3_combo,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,24501.329999999998,15788.07,8713.259999999998
scenario3_combo,PASTURE_ALFALFA,Alfalfa,17278.92,19171.62,-1892.7000000000007
scenario3_combo,PASTURE_OTHER,Other Pasture,21373.469999999998,24038.1,-2664.630000000001
scenario3_combo,RICE,Rice,2211.21,2679.93,-468.7199999999998
scenario3_combo,RIPARIAN,Riparian,12343.41,8354.34,3989.0699999999997
scenario3_combo,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,804.78,594.99,209.78999999999996
scenario3_combo,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,2320.38,1714.1399999999999,606.2400000000002
scenario3_combo,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,4244.3099999999995,1979.37,2264.9399999999996
scenario3_combo,RIPARIAN_FOREST_SALIX,Riparian - Willow,1165.68,972,193.68000000000006
scenario3_combo,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,916.74,916.74,0
scenario3_combo,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,115.83,114.75,1.0799999999999983
scenario3_combo,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,2775.69,2062.35,713.3400000000001
scenario3_combo,ROW,Row Crops,13915.08,17099.28,-3184.199999999999
