scenario,ZONE,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,150244.44444444444
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,238666.6666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,7911.111111111111
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,171911.11111111112
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,281211.1111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,11588.888888888889
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,67988.88888888889
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,23422.222222222223
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,242177.77777777778
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,125177.77777777778
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,24144.444444444445
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,27688.88888888889
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1420977.7777777778
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1470133.3333333335
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1242722.2222222222
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1664355.5555555555
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1081800
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,1198200
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,229888.8888888889
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,2298822.2222222225
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,633544.4444444445
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,528488.8888888889
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,1011.1111111111112
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,38366.66666666667
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,109833.33333333334
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,44.44444444444444
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,15888.888888888889
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,4113455.5555555555
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,3570911.1111111115
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,11354055.555555556
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,1976377.7777777778
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,524644.4444444445
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,99255.55555555556
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,804411.1111111111
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,698866.6666666667
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,53866.66666666667
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,455388.88888888893
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,22644.444444444445
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,10300
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,52566.66666666667
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,11400
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,1677.7777777777778
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,155955.55555555556
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,192688.8888888889
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,312722.22222222225
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,145811.11111111112
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,236688.8888888889
baseline,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,6977.777777777778
baseline,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,498866.6666666667
baseline,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,345611.1111111111
baseline,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,387055.55555555556
baseline,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,1090700
baseline,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,1722.2222222222224
baseline,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,209255.55555555556
baseline,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,396611.1111111111
baseline,Solano,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,0
baseline,Yolo,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,0
baseline,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,7222.222222222223
baseline,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,224188.8888888889
baseline,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,109455.55555555556
baseline,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,169144.44444444444
baseline,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,552077.7777777778
baseline,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (fall),ha,0
baseline,Sacramento,Biodiversity Support,Waterbird habitat,Geese (fall),ha,51122.222222222226
baseline,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (fall),ha,191677.77777777778
