chemname,repro,carcinogen,organop,groundwater,air,aquatic,critical
FENOXYCARB,NA,TRUE,NA,NA,NA,NA,NA
FENPROPATHRIN,NA,NA,NA,NA,NA,NA,TRUE
FENTHION,NA,NA,TRUE,NA,NA,NA,TRUE
FIPRONIL,NA,NA,NA,NA,NA,TRUE,NA
FLUAZIFOP-BUTYL,TRUE,NA,NA,NA,NA,NA,NA
FLUMETHRIN,NA,NA,NA,NA,NA,NA,TRUE
FOLPET,NA,TRUE,NA,NA,NA,NA,NA
FONOFOS,NA,NA,TRUE,NA,NA,NA,TRUE
FORMALDEHYDE,NA,TRUE,NA,NA,TRUE,NA,NA
FORMETANATE HYDROCHLORIDE,NA,NA,TRUE,NA,NA,NA,TRUE
GAMMA-CYHALOTHRIN,NA,NA,NA,NA,NA,NA,TRUE
GLYPHOSATE,NA,TRUE,NA,NA,NA,NA,NA
GLYPHOSATE-TRIMESIUM,NA,TRUE,NA,NA,NA,NA,NA
"GLYPHOSATE, DIAMMONIUM SALT",NA,TRUE,NA,NA,NA,NA,NA
"GLYPHOSATE, DIMETHYLAMINE SALT",NA,TRUE,NA,NA,NA,NA,NA
"GLYPHOSATE, ISOPROPYLAMINE SALT",NA,TRUE,NA,NA,NA,NA,NA
"GLYPHOSATE, MONOAMMONIUM SALT",NA,TRUE,NA,NA,NA,NA,NA
"GLYPHOSATE, POTASSIUM SALT",NA,TRUE,NA,NA,NA,NA,NA
HEPTACHLOR,TRUE,TRUE,NA,NA,NA,NA,NA
HEXAZINONE,NA,NA,NA,NA,NA,TRUE,NA
HYDRAMETHYLNON,TRUE,NA,NA,NA,NA,NA,NA
HYDROGEN CHLORIDE,NA,NA,NA,NA,TRUE,NA,NA
IMAZALIL,NA,TRUE,NA,NA,NA,NA,NA
IMIDACLOPRID,NA,NA,NA,NA,NA,TRUE,NA
IMIPROTHRIN,NA,NA,NA,NA,NA,NA,TRUE
INDOXACARB,NA,NA,NA,NA,NA,TRUE,NA
IPRODIONE,NA,TRUE,NA,NA,NA,NA,NA
KRESOXIM-METHYL,NA,TRUE,NA,NA,NA,NA,NA
LAMBDA-CYHALOTHRIN,NA,NA,NA,NA,NA,TRUE,TRUE
LINDANE,NA,TRUE,NA,NA,TRUE,NA,NA
LINURON,TRUE,NA,NA,NA,NA,NA,NA
MAGNESIUM PHOSPHIDE,NA,NA,NA,NA,TRUE,NA,NA
MALATHION,NA,TRUE,TRUE,NA,NA,TRUE,TRUE
MANCOZEB,NA,TRUE,NA,NA,TRUE,TRUE,NA
MANEB,NA,TRUE,NA,NA,TRUE,TRUE,NA
MERPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
"MERPHOS, OTHER RELATED",NA,NA,TRUE,NA,NA,NA,TRUE
META-CRESOL,NA,NA,NA,NA,TRUE,NA,NA
METAM-SODIUM,TRUE,TRUE,NA,NA,TRUE,NA,NA
METHAMIDOPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
METHANOL,TRUE,NA,NA,NA,TRUE,NA,NA
METHIDATHION,NA,NA,TRUE,NA,TRUE,NA,TRUE
METHIOCARB,NA,NA,TRUE,NA,NA,NA,TRUE
METHOMYL,NA,NA,TRUE,NA,NA,TRUE,TRUE
METHOXYCHLOR,NA,NA,NA,NA,TRUE,NA,NA
"METHOXYCHLOR, OTHER RELATED",NA,NA,NA,NA,TRUE,NA,NA
METHYL BROMIDE,TRUE,NA,NA,NA,TRUE,NA,NA
METHYL EUGENOL,NA,TRUE,NA,NA,NA,NA,NA
METHYL IODIDE,NA,TRUE,NA,NA,TRUE,NA,NA
METHYL ISOTHIOCYANATE,NA,NA,NA,NA,TRUE,NA,NA
METHYL PARATHION,NA,NA,TRUE,NA,TRUE,NA,TRUE
"METHYL PARATHION, OTHER RELATED",NA,NA,TRUE,NA,TRUE,NA,TRUE
METHYLENE CHLORIDE,NA,TRUE,NA,NA,NA,NA,NA
METIRAM,TRUE,TRUE,NA,NA,NA,NA,NA
MEVINPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
"MEVINPHOS, OTHER RELATED",NA,NA,TRUE,NA,NA,NA,TRUE
MEXACARBATE,NA,NA,TRUE,NA,NA,NA,TRUE
MOLINATE,TRUE,NA,TRUE,NA,NA,NA,TRUE
MOMFLUORTHRIN,NA,NA,NA,NA,NA,NA,TRUE
MYCLOBUTANIL,TRUE,NA,NA,NA,NA,NA,NA
N-METHYLDITHIOCARBAMATE PROPARGITE,NA,TRUE,NA,NA,NA,NA,NA
NABAM,TRUE,NA,NA,NA,NA,NA,NA
NALED,NA,NA,TRUE,NA,NA,TRUE,TRUE
NAPHTHALENE,NA,TRUE,NA,NA,TRUE,NA,NA
NICOTINE,TRUE,NA,NA,NA,NA,NA,NA
NITRAPYRIN,TRUE,TRUE,NA,NA,NA,NA,NA
NITROFEN,NA,TRUE,NA,NA,NA,NA,NA
NORFLURAZON,NA,NA,NA,TRUE,NA,TRUE,TRUE
ORTHO-PHENYLPHENOL,NA,TRUE,NA,NA,NA,NA,NA
"ORTHO-PHENYLPHENOL, SODIUM SALT",NA,TRUE,NA,NA,NA,NA,NA
ORYZALIN,NA,TRUE,NA,NA,NA,NA,NA
OXADIAZON,TRUE,TRUE,NA,NA,NA,NA,NA
OXAMYL,NA,NA,TRUE,NA,NA,NA,TRUE
OXYDEMETON-METHYL,TRUE,NA,TRUE,NA,NA,NA,TRUE
OXYFLUORFEN,NA,NA,NA,NA,NA,TRUE,NA
OXYTETRACYCLINE HYDROCHLORIDE,TRUE,NA,NA,NA,NA,NA,NA
OXYTHIOQUINOX,TRUE,TRUE,NA,NA,NA,NA,NA
PARA-DICHLOROBENZENE,NA,TRUE,NA,NA,TRUE,NA,NA
PARAQUAT DICHLORIDE,NA,NA,NA,NA,NA,TRUE,NA
PARATHION,NA,TRUE,TRUE,NA,TRUE,NA,TRUE
"PARATHION, OTHER RELATED",NA,NA,TRUE,NA,NA,NA,TRUE
PCNB,NA,NA,NA,NA,TRUE,NA,NA
"PCP, OTHER RELATED",NA,NA,NA,NA,TRUE,NA,NA
"PCP, SODIUM SALT",NA,NA,NA,NA,TRUE,NA,NA
PENDIMETHALIN,NA,NA,NA,NA,NA,TRUE,NA
PENTACHLOROPHENOL,NA,TRUE,NA,NA,TRUE,NA,NA
PERMETHRIN,NA,NA,NA,NA,NA,TRUE,TRUE
PHENOL,NA,NA,NA,NA,TRUE,NA,NA
"PHENOL, FERROUS SALT",NA,NA,NA,NA,TRUE,NA,NA
PHMB*,NA,NA,NA,NA,NA,TRUE,NA
PHORATE,NA,NA,TRUE,NA,NA,NA,TRUE
PHOSACETIN,NA,NA,TRUE,NA,NA,NA,TRUE
PHOSMET,NA,NA,TRUE,NA,NA,NA,TRUE
PHOSPHAMIDON,NA,NA,TRUE,NA,NA,NA,TRUE
"PHOSPHAMIDON, OTHER RELATED",NA,NA,TRUE,NA,NA,NA,TRUE
PHOSPHINE,NA,NA,NA,NA,TRUE,NA,NA
PHOSPHORUS,NA,NA,NA,NA,TRUE,NA,NA
PIRIMICARB,NA,TRUE,TRUE,NA,NA,NA,TRUE
POTASSIUM,NA,TRUE,NA,NA,NA,NA,NA
POTASSIUM DICHROMATE,TRUE,TRUE,NA,NA,NA,NA,NA
POTASSIUM DIMETHYL DITHIO CARBAMATE,TRUE,NA,TRUE,NA,NA,NA,TRUE
POTASSIUM N-METHYLDITHIOCARBAMATE,NA,NA,NA,NA,TRUE,NA,NA
POTASSIUM PERMANGANATE,NA,NA,NA,NA,TRUE,NA,NA
PRALLETHRIN,NA,NA,NA,NA,NA,NA,TRUE
PROFENOFOS,NA,NA,TRUE,NA,NA,NA,TRUE
PROMETON,NA,NA,NA,TRUE,NA,NA,TRUE
PROPANIL,NA,NA,NA,NA,NA,TRUE,NA
PROPARGITE,TRUE,NA,NA,NA,NA,TRUE,NA
PROPAZINE,TRUE,NA,NA,NA,NA,NA,NA
PROPETAMPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
PROPOXUR,NA,NA,TRUE,NA,TRUE,NA,TRUE
PROPYLENE OXIDE,NA,NA,NA,NA,TRUE,NA,NA
PYRACLOSTROBIN,NA,NA,NA,NA,NA,TRUE,NA
PYRETHRINS,NA,NA,NA,NA,NA,NA,TRUE
QUIZALOFOP-ETHYL,TRUE,NA,NA,NA,NA,NA,NA
RESMETHRIN,TRUE,NA,NA,NA,NA,NA,TRUE
RONNEL,NA,NA,TRUE,NA,NA,NA,TRUE
"S,S,S-TRIBUTYL PHOSPHOROTRITHIOATE",NA,NA,TRUE,NA,TRUE,NA,TRUE
SIMAZINE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE
SODIUM CYANIDE,NA,NA,NA,NA,TRUE,NA,NA
SODIUM DICHROMATE,TRUE,NA,NA,NA,TRUE,NA,NA
SODIUM DIMETHYL DITHIO CARBAMATE,TRUE,NA,TRUE,NA,NA,NA,TRUE
SODIUM TETRATHIOCARBONATE,NA,NA,NA,NA,TRUE,NA,NA
STREPTOMYCIN SULFATE,TRUE,NA,NA,NA,NA,NA,NA
SULFOTEP,NA,NA,TRUE,NA,NA,NA,TRUE
SULFUR DIOXIDE,TRUE,NA,NA,NA,NA,NA,NA
SULFURYL FLUORIDE,NA,NA,NA,NA,TRUE,NA,NA
TAU-FLUVALINATE,TRUE,NA,NA,NA,NA,NA,TRUE
TEFLUTHRIN,NA,NA,NA,NA,NA,NA,TRUE
TEMEPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
TEPP,NA,NA,TRUE,NA,NA,NA,TRUE
"TEPP, OTHER RELATED",NA,NA,TRUE,NA,NA,NA,TRUE
TETRACHLORVINPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
TETRAMETHRIN,NA,NA,NA,NA,NA,NA,TRUE
THIOBENCARB,NA,NA,TRUE,NA,NA,NA,TRUE
THIODICARB,NA,NA,TRUE,NA,NA,NA,TRUE
THIOPHANATE-METHYL,TRUE,NA,NA,NA,NA,NA,NA
"TOTAL DDT (SUM OF 4,4'- AND 2,4'- ISOMERS OF DDT, DDE, AND DDD)",NA,NA,NA,NA,NA,NA,TRUE
TOXAPHENE,NA,NA,NA,NA,NA,NA,TRUE
TRALOMETHRIN,NA,NA,NA,NA,NA,NA,TRUE
Tralomethrin*,NA,NA,NA,NA,NA,TRUE,NA
TRANS-DCCA,NA,NA,NA,NA,NA,NA,TRUE
TRIADIMEFON,TRUE,NA,NA,NA,NA,NA,NA
TRIALLATE,NA,NA,TRUE,NA,NA,NA,TRUE
TRIBUTYLTIN METHACRYLATE,TRUE,NA,NA,NA,NA,NA,NA
TRICHLORFON,NA,NA,TRUE,NA,NA,NA,TRUE
TRICHLORO ETHYLENE,TRUE,NA,NA,NA,NA,NA,NA
TRIFLURALIN,NA,NA,NA,NA,TRUE,TRUE,NA
TRIFORINE,TRUE,NA,NA,NA,NA,NA,NA
VINCLOZOLIN,TRUE,NA,NA,NA,NA,NA,NA
WARFARIN,TRUE,NA,NA,NA,NA,NA,NA
XYLENE,NA,NA,NA,NA,TRUE,NA,NA
ZETA-CYPERMETHRIN,NA,NA,NA,NA,NA,NA,TRUE
ZINC PHOSPHIDE,NA,NA,NA,NA,TRUE,NA,NA
ZIRAM,NA,NA,NA,NA,NA,TRUE,NA
