METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SUBCLASS,year,lbs_chm_used,kg_chm_used,CLASS_AREA,SUBCLASS_AREA,SUBCLASS_PROP,rate,UNIT
water quality,pesticide application rate,Air Pollutant,ROW,ONIONS & GARLIC,2016,846.584527,383.9385609977324,16819.094288195163,625.1274500074617,0.03716772373683764,0.6141764547263916,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,ONIONS & GARLIC,2017,295.09491199999997,133.82989206349205,16819.094288195163,625.1274500074617,0.03716772373683764,0.21408417125482912,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,ONIONS & GARLIC,2018,1207.854998,547.7800444444445,16819.094288195163,625.1274500074617,0.03716772373683764,0.8762693822482216,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,"PEPPERS (CHILI, BELL, ETC)",2014,219.1101852,99.36969850340135,16819.094288195163,189.04428787207345,0.01123986135238912,0.5256424281417325,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,"PEPPERS (CHILI, BELL, ETC)",2015,52.680805,23.891521541950112,16819.094288195163,189.04428787207345,0.01123986135238912,0.126380552466719,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,"PEPPERS (CHILI, BELL, ETC)",2016,277.39199715999996,125.8013592562358,16819.094288195163,189.04428787207345,0.01123986135238912,0.6654597220169157,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,"PEPPERS (CHILI, BELL, ETC)",2017,1197.0131102,542.8630885260771,16819.094288195163,189.04428787207345,0.01123986135238912,2.87161857486767,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,"PEPPERS (CHILI, BELL, ETC)",2018,25.0733,11.37111111111111,16819.094288195163,189.04428787207345,0.01123986135238912,0.0601505141419875,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,POTATO OR SWEET POTATO,2014,170532.8903904,77339.17931537415,16819.094288195163,1444.3910020391058,0.08587804891806107,53.544489827332946,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,POTATO OR SWEET POTATO,2015,406827.215646,184502.13861496598,16819.094288195163,1444.3910020391058,0.08587804891806107,127.73697589814445,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,POTATO OR SWEET POTATO,2016,51265.6670579,23249.73562716553,16819.094288195163,1444.3910020391058,0.08587804891806107,16.09656636903922,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,POTATO OR SWEET POTATO,2017,67634.8128595,30673.384516780046,16819.094288195163,1444.3910020391058,0.08587804891806107,21.236205759712693,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,POTATO OR SWEET POTATO,2018,190096.685528,86211.64876553288,16819.094288195163,1444.3910020391058,0.08587804891806107,59.68719594889775,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,TOMATOES (PROCESSING),2014,20348.550737859998,9228.36768156916,16819.094288195163,9950.224136304128,0.5916028512479358,0.9274532467966001,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,TOMATOES (PROCESSING),2015,217786.09847902,98769.2056594195,16819.094288195163,9950.224136304128,0.5916028512479358,9.926329729503555,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,TOMATOES (PROCESSING),2016,48967.02737632,22207.26865139229,16819.094288195163,9950.224136304128,0.5916028512479358,2.2318360216999964,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,TOMATOES (PROCESSING),2017,8210.84706506,3723.74016556009,16819.094288195163,9950.224136304128,0.5916028512479358,0.3742368126134716,kg per ha
water quality,pesticide application rate,Air Pollutant,ROW,TOMATOES (PROCESSING),2018,126870.86148888001,57537.80566389116,16819.094288195163,9950.224136304128,0.5916028512479358,5.782563777026914,kg per ha
water quality,pesticide application rate,Air Pollutant,URBAN,URBAN,2014,161.7979836,73.37777034013605,36784.52999989299,36784.52999989299,1,0.0019947997253288137,kg per ha
water quality,pesticide application rate,Air Pollutant,URBAN,URBAN,2015,748.3673402999999,339.39561918367343,36784.52999989299,36784.52999989299,1,0.009226585719177621,kg per ha
water quality,pesticide application rate,Air Pollutant,URBAN,URBAN,2016,492.838398,223.50947755102038,36784.52999989299,36784.52999989299,1,0.006076181415167479,kg per ha
water quality,pesticide application rate,Air Pollutant,URBAN,URBAN,2017,406.5005598,184.35399537414966,36784.52999989299,36784.52999989299,1,0.005011726271198408,kg per ha
water quality,pesticide application rate,Air Pollutant,URBAN,URBAN,2018,715.983606,324.70911836734695,36784.52999989299,36784.52999989299,1,0.008827328183023992,kg per ha
water quality,pesticide application rate,Air Pollutant,VINEYARD,VINEYARD,2014,9983.4277797,4527.631646122449,16192.802764144786,16192.802764144786,1,0.2796076573073465,kg per ha
water quality,pesticide application rate,Air Pollutant,VINEYARD,VINEYARD,2015,17097.9939668,7754.192275192744,16192.802764144786,16192.802764144786,1,0.47886659203696397,kg per ha
water quality,pesticide application rate,Air Pollutant,VINEYARD,VINEYARD,2016,63936.2681408,28996.039973151925,16192.802764144786,16192.802764144786,1,1.7906745605125842,kg per ha
water quality,pesticide application rate,Air Pollutant,VINEYARD,VINEYARD,2017,3758.4872563,1704.529367936508,16192.802764144786,16192.802764144786,1,0.10526462853674681,kg per ha
water quality,pesticide application rate,Air Pollutant,VINEYARD,VINEYARD,2018,123063.48305928,55811.103428244896,16192.802764144786,16192.802764144786,1,3.4466611025378304,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2014,22259.30539461,10094.923081455783,34678.84712333792,34678.84712333792,1,0.291097424477591,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2015,19887.83573926,9019.426639120182,34678.84712333792,34678.84712333792,1,0.2600843853615409,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2016,24673.85647253,11189.95758391383,34678.84712333792,34678.84712333792,1,0.32267386352596755,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2017,19503.67739266,8845.205166739228,34678.84712333792,34678.84712333792,1,0.25506053114397353,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2018,17137.29114954,7772.01412677551,34678.84712333792,34678.84712333792,1,0.22411397066153207,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,BEANS (DRY),2014,3029.46028863,1373.904892802721,7964.759359127458,2024.3778301303464,0.2541668541197606,0.6786800726395317,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,BEANS (DRY),2015,3577.71904799,1622.5483210839002,7964.759359127458,2024.3778301303464,0.2541668541197606,0.801504687975874,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,BEANS (DRY),2016,6247.34231749,2833.2618219909295,7964.759359127458,2024.3778301303464,0.2541668541197606,1.3995716510136353,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,BEANS (DRY),2017,3996.17327999,1812.3234829886621,7964.759359127458,2024.3778301303464,0.2541668541197606,0.8952496199150578,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,BEANS (DRY),2018,4058.89693884,1840.76958677551,7964.759359127458,2024.3778301303464,0.2541668541197606,0.9093013959044325,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,SAFFLOWER,2014,2396.13044588,1086.6804743219955,7964.759359127458,4825.305365348758,0.6058319087593089,0.2252044983775765,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,SAFFLOWER,2015,3098.09159264,1405.030200743764,7964.759359127458,4825.305365348758,0.6058319087593089,0.2911795408500977,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,SAFFLOWER,2016,7231.73936924,3279.700394213152,7964.759359127458,4825.305365348758,0.6058319087593089,0.6796876354738444,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,SAFFLOWER,2017,4959.6507901800005,2249.2747347755103,7964.759359127458,4825.305365348758,0.6058319087593089,0.4661414282561037,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,SAFFLOWER,2018,4243.804178,1924.6277451247167,7964.759359127458,4825.305365348758,0.6058319087593089,0.3988613361023237,kg per ha
water quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,SUNFLOWERS,2014,924.94502782,419.4762030929705,7964.759359127458,863.361146155801,0.10839764357304855,0.48586411950633734,kg per ha
