METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,GRAIN&HAY_WHEAT,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,GRAIN&HAY_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,GRAIN&HAY_WHEAT,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,GRAIN&HAY_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,WETLAND_MANAGED_PERENNIAL,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,WETLAND_MANAGED_SEASONAL,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,WETLAND_MANAGED_PERENNIAL,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,WETLAND_MANAGED_SEASONAL,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,WETLAND_MANAGED_PERENNIAL,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,WETLAND_MANAGED_SEASONAL,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,WETLAND_MANAGED_PERENNIAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,WETLAND_MANAGED_SEASONAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,WETLAND_MANAGED_PERENNIAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,WETLAND_MANAGED_SEASONAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,WETLAND_MANAGED_PERENNIAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,WETLAND_MANAGED_SEASONAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,WETLAND_MANAGED_PERENNIAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,WETLAND_MANAGED_SEASONAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,WETLAND_MANAGED_PERENNIAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,WETLAND_MANAGED_SEASONAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,WETLAND_MANAGED_PERENNIAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,WETLAND_MANAGED_SEASONAL,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,WETLAND_OTHER,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,WETLAND_OTHER,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,WETLAND_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,WETLAND_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,WETLAND_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,WETLAND_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,WETLAND_OTHER,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,WETLAND_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,WETLAND_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,BARREN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,BARREN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,IDLE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,URBAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,BARREN,0,NA,NA,NA,ranking
