METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SUBCLASS,SCORE,SCORE_MIN,SCORE_MAX,UNIT
healthy environment,pesticide application rate,reproductive toxicity,ORCHARD_CITRUS&SUBTROPICAL,OLIVES,2.619318856723707,1.693934027210832,3.6693118171143655,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_CITRUS&SUBTROPICAL,MISCELLANEOUS SUBTROPICAL FRUIT,5.776629797944859,1.7163282287869854e-4,11.55308796306684,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_CITRUS&SUBTROPICAL,OLIVES,9.017048139233802,6.2414618878916315,11.474103023821314,pounds per ha
healthy environment,pesticide application rate,air pollution,ORCHARD_DECIDUOUS,ALMONDS,5.762888300790555,0.07454733925327886,22.340721970507072,pounds per ha
healthy environment,pesticide application rate,air pollution,ORCHARD_DECIDUOUS,APPLES,15.4825561710498,6.402107154971158,21.681098006387117,pounds per ha
healthy environment,pesticide application rate,air pollution,ORCHARD_DECIDUOUS,PEARS,20.215916636035345,14.939022597169442,22.271144774410526,pounds per ha
healthy environment,pesticide application rate,air pollution,ORCHARD_DECIDUOUS,STONE FRUIT,3.6674737412141982,0.017799680379324622,11.294722752104468,pounds per ha
healthy environment,pesticide application rate,air pollution,ORCHARD_DECIDUOUS,WALNUTS,5.180992974750788,1.0467322813110804,19.9338405191924,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_DECIDUOUS,ALMONDS,3.178691808997495,2.063259700397512,3.9943002252542272,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_DECIDUOUS,APPLES,25.63781071707901,17.846815726469327,33.15958065023173,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,0.008284245197398225,2.0858967283405075e-4,0.012492088958878312,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_DECIDUOUS,PEARS,23.064724062767898,18.05342624004582,25.272301582678296,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_DECIDUOUS,POMEGRANATES,5.992709691843079,3.728308769159576,12.525037586811205,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_DECIDUOUS,STONE FRUIT,4.909590833797569,2.526012991139435,6.199560157331732,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_DECIDUOUS,WALNUTS,4.66560295917699,2.7189223384453407,6.459751321018464,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_DECIDUOUS,ALMONDS,9.734670956513643,4.215446700946128,25.40215229188097,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_DECIDUOUS,APPLES,17.57796526991981,8.559884287716812,25.743781030978894,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,0.07142375776618708,0.022474474453728077,0.12607656963448702,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_DECIDUOUS,PEARS,22.40502083295848,17.581802169272514,24.178501869056834,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_DECIDUOUS,STONE FRUIT,7.8479156586679215,3.963680738509002,17.26845758985848,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_DECIDUOUS,WALNUTS,11.366490767054241,7.2934428019133675,23.84935766176843,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_DECIDUOUS,ALMONDS,0.3646995308101888,0.21564916448404065,0.5508295295839803,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_DECIDUOUS,APPLES,11.378278054720976,7.754711277945976,15.190594435257875,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,2.494646616196675e-4,1.699083876247408e-4,3.6104902955604056e-4,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_DECIDUOUS,PEARS,3.2467095096071374,2.661013208126884,3.7609604295627874,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_DECIDUOUS,POMEGRANATES,2.89444776541575,2.237126424173111,3.635330439281305,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_DECIDUOUS,STONE FRUIT,1.556500258159868,0.8695500188132772,1.948699042737854,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_DECIDUOUS,WALNUTS,1.4539705973479367,1.1313065184110116,1.8853741063762446,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,ORCHARD_DECIDUOUS,ALMONDS,0.04032183965025797,0.012842005904348919,0.12411770322141198,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,ORCHARD_DECIDUOUS,APPLES,1.7746110069838985,1.1525162444954529,2.3967057694723444,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,ORCHARD_DECIDUOUS,PEARS,0.3590648388551448,0.18567572176319125,0.46522744071637007,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,ORCHARD_DECIDUOUS,STONE FRUIT,0.007194646899757139,0.007194646899757139,0.007194646899757139,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,ORCHARD_DECIDUOUS,WALNUTS,0.19114130685015263,0.10310906272637321,0.40598450296876964,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,ORCHARD_DECIDUOUS,ALMONDS,0.5334950700404921,0.3868507230744819,0.6644428331174967,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,ORCHARD_DECIDUOUS,APPLES,7.330490096718867,1.7861077195730002,11.34034868922291,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,4.577250018933471e-4,4.577250018933471e-4,4.577250018933471e-4,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,ORCHARD_DECIDUOUS,PEARS,4.74605643420247,1.4648787865384678,7.819905862519541,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,ORCHARD_DECIDUOUS,STONE FRUIT,0.5601758427187528,0.25008313846274527,1.102536608492679,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,ORCHARD_DECIDUOUS,WALNUTS,0.9520054311512176,0.431861982247317,1.5202776591279927,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_DECIDUOUS,ALMONDS,12.60425327872912,5.550042423669503,27.87988314517466,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_DECIDUOUS,APPLES,32.84470182022805,25.55915922291852,36.64228728993962,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_DECIDUOUS,MISCELLANEOUS DECIDUOUS,0.06215359326872662,4.2602624051227197e-4,0.13833834850661395,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_DECIDUOUS,PEARS,28.5768850318608,20.959126293169835,34.23567509108107,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_DECIDUOUS,POMEGRANATES,6.0152133193982404,3.728308769159576,12.525037586811205,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_DECIDUOUS,STONE FRUIT,12.943820106902535,6.602093699574828,22.434636839694324,pounds per ha
healthy environment,pesticide application rate,total pesticides,ORCHARD_DECIDUOUS,WALNUTS,15.096140794436561,9.189424377874397,26.57503741954827,pounds per ha
healthy environment,pesticide application rate,air pollution,PASTURE,MISCELLANEOUS GRASSES,1.4458727936876037,0.9994215850248295,2.2444727436434375,pounds per ha
healthy environment,pesticide application rate,air pollution,PASTURE,MIXED PASTURE,0.05822266569100916,0.046201824072487366,0.06752017516576955,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,PASTURE,MISCELLANEOUS GRASSES,0.45132064286396856,0.3015465235587166,0.8910571902539671,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,PASTURE,MIXED PASTURE,3.225458476792379e-4,8.547579619966356e-5,4.891009439454574e-4,pounds per ha
healthy environment,pesticide application rate,carcinogen,PASTURE,MISCELLANEOUS GRASSES,0.2241604332279682,0.09072382395953725,0.5617487662273484,pounds per ha
healthy environment,pesticide application rate,carcinogen,PASTURE,MIXED PASTURE,0.00343629369309108,4.983233415214062e-4,0.009319730720169622,pounds per ha
healthy environment,pesticide application rate,critical pesticides,PASTURE,MISCELLANEOUS GRASSES,0.0015391620832662012,3.09603959393543e-4,0.004444902754722618,pounds per ha
healthy environment,pesticide application rate,critical pesticides,PASTURE,MIXED PASTURE,2.658119906073153e-4,8.547579619966356e-5,4.4614818501496705e-4,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,PASTURE,MISCELLANEOUS GRASSES,0.0374287156548695,0.00295026283783897,0.12395648293662768,pounds per ha
healthy environment,pesticide application rate,total pesticides,PASTURE,MISCELLANEOUS GRASSES,1.7666281772276284,1.256899701758736,2.604408459854245,pounds per ha
healthy environment,pesticide application rate,total pesticides,PASTURE,MIXED PASTURE,0.061916996062243636,0.04678562321020844,0.0743305023428249,pounds per ha
healthy environment,pesticide application rate,air pollution,PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,0.505718158023764,0.1714960259725791,1.1264787295176812,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,4.875236635103077,2.6225735704839397,6.203474399651293,pounds per ha
healthy environment,pesticide application rate,carcinogen,PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,4.57222693131967,4.007221631958063,5.465157332821628,pounds per ha
healthy environment,pesticide application rate,critical pesticides,PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,2.2098613610297337,1.0814328459271576,3.912365293386693,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,0.34223084476174587,0.12045165691784594,0.7116328921182878,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,0.40828915018878914,0.0847167008832201,1.0666764256626,pounds per ha
healthy environment,pesticide application rate,total pesticides,PASTURE_ALFALFA,ALFALFA & ALFALFA MIXTURES,8.901971198204048,6.522600258757895,10.065792962391582,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,RICE,RICE,8.23397189417839,5.453212544960892,12.127496760119213,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,RICE,WILD RICE,1.3691066272475843,0.03746232879562304,5.997397220900926,pounds per ha
healthy environment,pesticide application rate,carcinogen,RICE,RICE,0.7661892346689613,0.5295547315637907,0.9931447223999361,pounds per ha
healthy environment,pesticide application rate,carcinogen,RICE,WILD RICE,0.5265095585754415,0.5265095585754415,0.5265095585754415,pounds per ha
healthy environment,pesticide application rate,critical pesticides,RICE,RICE,1.347418918177269,0.31779261259380603,2.1987644777009727,pounds per ha
healthy environment,pesticide application rate,critical pesticides,RICE,WILD RICE,1.2394164827308516,0.03746232879562304,5.348946498317263,pounds per ha
healthy environment,pesticide application rate,total pesticides,RICE,RICE,10.025784747832226,6.541499224540504,14.952702754006896,pounds per ha
healthy environment,pesticide application rate,total pesticides,RICE,WILD RICE,2.4090737565589104,0.03746232879562304,11.197232867457556,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,CARROTS,26.245453989233628,7.632545384418634,44.848600010769964,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,COLE CROPS (MIXTURE OF 22-25),0.981335476988883,0.981335476988883,0.981335476988883,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",0.6555458711971156,0.023504223755611592,1.906847651205998,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,MISCELLANEOUS TRUCK,2.5444934227518994,0.275500391871322,4.477641590912163,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,ONIONS & GARLIC,1.8516926226582808,0.4720555976168982,2.960612271910166,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,"PEPPERS (CHILI, BELL, ETC)",1.8739200401110458,0.13263188368308246,6.331918957583212,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,POTATO OR SWEET POTATO,122.73093230717905,35.492928843731484,281.66003185540853,pounds per ha
healthy environment,pesticide application rate,air pollution,ROW,TOMATOES (PROCESSING),8.485907038149477,0.825192171812705,21.88755705355534,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,CARROTS,2.441906046572244,1.1460380922868552,4.383537441240576,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,COLE CROPS (MIXTURE OF 22-25),1.7158535190380786,0.053893227268425006,3.615432418766637,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",1.12894662182843,0.6601486208374222,1.7003520695403689,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,MISCELLANEOUS TRUCK,7.095990030201496,3.7904550538795037,12.359127133668165,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,ONIONS & GARLIC,4.135136799430493,2.204516786750527,5.774169214544834,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,"PEPPERS (CHILI, BELL, ETC)",7.618695950520513,1.0999448938690608,13.101739788276811,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ROW,POTATO OR SWEET POTATO,5.427515377315922,4.006748943402316,6.00918677808615,pounds per ha
