Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2018 ,391999 ,POTATOES ALL ,77 ,San Joaquin ,5950 ,18.32 ,109000 ,337.65 ,Tons ,36804000
2018 ,391999 ,POTATOES ALL ,93 ,Siskiyou ,4090 ,22.40 ,91600 ,185.21 ,Tons ,16965000
2018 ,391999 ,POTATOES ALL ,991 ,Sum of Others ,933 ,25.01 ,23336 ,244.69 ,Tons ,5710000
2018 ,391999 ,POTATOES ALL , 999, State Totals,34593 ,21.44 ,741636 ,259.87 ,    ,192728000
2018 ,832919 ,POTATOES SEED ,93 ,Siskiyou ,85 ,16.24 ,1380 ,280.43 ,Tons ,387000
2018 ,832919 ,POTATOES SEED , 999, State Totals,85 ,16.24 ,1380 ,280.43 ,    ,387000
2018 ,392999 ,POTATOES SWEET ,47 ,Merced ,17000 ,14.06 ,239000 ,901.45 ,Tons ,215447000
2018 ,392999 ,POTATOES SWEET ,99 ,Stanislaus ,2020 ,14.06 ,28400 ,900.00 ,Tons ,25560000
2018 ,392999 ,POTATOES SWEET ,991 ,Sum of Others ,1220 ,23.85 ,29100 ,481.99 ,Tons ,14026000
2018 ,392999 ,POTATOES SWEET , 999, State Totals,20240 ,14.65 ,296500 ,860.15 ,    ,255033000
2018 ,699999 ,POULTRY UNSPECIFIED ,9 ,Calaveras ,  ,  ,  ,  ,  ,3381000
2018 ,699999 ,POULTRY UNSPECIFIED ,39 ,Madera ,  ,  ,  ,  ,  ,26504000
2018 ,699999 ,POULTRY UNSPECIFIED ,41 ,Marin ,  ,  ,  ,  ,  ,23233000
2018 ,699999 ,POULTRY UNSPECIFIED ,59 ,Orange ,  ,  ,  ,  ,  ,14000
2018 ,699999 ,POULTRY UNSPECIFIED ,63 ,Plumas ,  ,  ,  ,  ,  ,69100
2018 ,699999 ,POULTRY UNSPECIFIED ,67 ,Sacramento ,  ,  ,  ,  ,  ,40469000
2018 ,699999 ,POULTRY UNSPECIFIED ,107 ,Tulare ,  ,  ,  ,  ,  ,59402000
2018 ,699999 ,POULTRY UNSPECIFIED ,111 ,Ventura ,  ,  ,  ,  ,  ,1972000
2018 ,699999 ,POULTRY UNSPECIFIED ,991 ,Sum of Others ,  ,  ,  ,  ,  ,2205000
2018 ,699999 ,POULTRY UNSPECIFIED , 999, State Totals,0 ,  ,0 ,  ,    ,157249100
2018 ,366999 ,PUMPKINS ,71 ,San Bernardino ,128 ,9.45 ,1210 ,666.94 ,Tons ,807000
2018 ,366999 ,PUMPKINS ,77 ,San Joaquin ,2180 ,26.51 ,57800 ,366.71 ,Tons ,21196000
2018 ,366999 ,PUMPKINS ,81 ,San Mateo ,186 ,6.67 ,1240 ,1070.97 ,Tons ,1328000
2018 ,366999 ,PUMPKINS ,99 ,Stanislaus ,471 ,49.26 ,23200 ,494.01 ,Tons ,11461000
2018 ,366999 ,PUMPKINS ,111 ,Ventura ,257 ,15.02 ,3860 ,379.79 ,Tons ,1466000
2018 ,366999 ,PUMPKINS ,991 ,Sum of Others ,179 ,6.58 ,1178 ,669.61 ,Tons ,788800
2018 ,366999 ,PUMPKINS , 999, State Totals,3401 ,26.02 ,88488 ,418.66 ,    ,37046800
2018 ,218499 ,QUINCE ,107 ,Tulare ,97 ,7.09 ,688 ,2000.00 ,Tons ,1376000
2018 ,218499 ,QUINCE ,991 ,Sum of Others ,64 ,1.83 ,117 ,1907.44 ,Tons ,223170
2018 ,218499 ,QUINCE , 999, State Totals,161 ,5.00 ,805 ,1986.55 ,    ,1599170
2018 ,318999 ,RADICCHIO ,991 ,Sum of Others ,1345 ,6.87 ,9235 ,1852.73 ,Tons ,17110000
2018 ,318999 ,RADICCHIO , 999, State Totals,1345 ,6.87 ,9235 ,1852.73 ,    ,17110000
2018 ,367999 ,RADISHES ,53 ,Monterey ,193 ,12.64 ,2440 ,1090.16 ,Tons ,2660000
2018 ,367999 ,RADISHES ,65 ,Riverside ,110 ,7.00 ,770 ,1100.00 ,Tons ,847000
2018 ,367999 ,RADISHES ,71 ,San Bernardino ,22 ,6.86 ,151 ,1000.00 ,Tons ,151000
2018 ,367999 ,RADISHES ,111 ,Ventura ,888 ,17.79 ,15800 ,781.65 ,Tons ,12350000
2018 ,367999 ,RADISHES ,991 ,Sum of Others ,358 ,17.35 ,6212 ,580.77 ,Tons ,3607760
2018 ,367999 ,RADISHES , 999, State Totals,1571 ,16.15 ,25373 ,773.10 ,    ,19615760
2018 ,106199 ,RICE MILLING ,7 ,Butte ,92300 ,4.59 ,424000 ,380.31 ,Tons ,161253000
2018 ,106199 ,RICE MILLING ,11 ,Colusa ,143000 ,4.55 ,650000 ,359.81 ,Tons ,233874000
2018 ,106199 ,RICE MILLING ,21 ,Glenn ,83500 ,4.69 ,392000 ,326.31 ,Tons ,127914000
2018 ,106199 ,RICE MILLING ,61 ,Placer ,13300 ,4.20 ,55800 ,358.80 ,Tons ,20021000
2018 ,106199 ,RICE MILLING ,67 ,Sacramento ,8810 ,4.40 ,38800 ,350.54 ,Tons ,13601000
2018 ,106199 ,RICE MILLING ,77 ,San Joaquin ,3620 ,4.81 ,17400 ,365.00 ,Tons ,6351000
2018 ,106199 ,RICE MILLING ,101 ,Sutter ,104000 ,4.32 ,449000 ,382.04 ,Tons ,171534000
2018 ,106199 ,RICE MILLING ,113 ,Yolo ,33300 ,3.90 ,130000 ,400.00 ,Tons ,52000000
2018 ,106199 ,RICE MILLING ,115 ,Yuba ,37600 ,4.41 ,166000 ,378.96 ,Tons ,62907000
2018 ,106199 ,RICE MILLING ,991 ,Sum of Others ,4470 ,3.39 ,15170 ,649.37 ,Tons ,9851000
2018 ,106199 ,RICE MILLING , 999, State Totals,523900 ,4.46 ,2338170 ,367.51 ,    ,859306000
2018 ,171069 ,RICE SEED ,7 ,Butte ,5230 ,4.70 ,24600 ,399.92 ,Tons ,9838000
2018 ,171069 ,RICE SEED ,11 ,Colusa ,9270 ,4.38 ,40600 ,340.10 ,Tons ,13808000
2018 ,171069 ,RICE SEED ,21 ,Glenn ,2020 ,4.69 ,9480 ,399.79 ,Tons ,3790000
2018 ,171069 ,RICE SEED , 999, State Totals,16520 ,4.52 ,74680 ,367.38 ,    ,27436000
2018 ,198199 ,RICE WILD ,35 ,Lassen ,2170 ,0.76 ,1640 ,1715.24 ,Tons ,2813000
2018 ,198199 ,RICE WILD ,49 ,Modoc ,2420 ,0.89 ,2150 ,1302.33 ,Tons ,2800000
2018 ,198199 ,RICE WILD ,89 ,Shasta ,5800 ,0.73 ,4250 ,1319.53 ,Tons ,5608000
2018 ,198199 ,RICE WILD ,991 ,Sum of Others ,100 ,0.90 ,90 ,2500.00 ,Tons ,225000
