Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2017 ,171019 ,WHEAT SEED ,11 ,Colusa ,287 ,3.15 ,904 ,200.22 ,Tons ,181000
2017 ,171019 ,WHEAT SEED ,93 ,Siskiyou ,250 ,3.73 ,933 ,273.31 ,Tons ,255000
2017 ,171019 ,WHEAT SEED ,101 ,Sutter ,210 ,2.29 ,481 ,160.08 ,Tons ,77000
2017 ,171019 ,WHEAT SEED ,991 ,Sum of Others ,1173 ,0.00 ,1 ,1090000.00 ,Tons ,1090000
2017 ,171019 ,WHEAT SEED , 999, State Total,1920 ,1.21 ,2319 ,691.25 ,    ,1603000
2017 ,472999 ,WOOL ,21 ,Glenn ,  ,  ,37200 ,1.56 ,Lbs ,58000
2017 ,472999 ,WOOL ,25 ,Imperial ,  ,  ,276000 ,1.26 ,Lbs ,347000
2017 ,472999 ,WOOL ,27 ,Inyo ,  ,  ,22700 ,2.17 ,Lbs ,49200
2017 ,472999 ,WOOL ,29 ,Kern ,  ,  ,450000 ,2.30 ,Lbs ,1035000
2017 ,472999 ,WOOL ,31 ,Kings ,  ,  ,70900 ,2.40 ,Lbs ,170000
2017 ,472999 ,WOOL ,41 ,Marin ,  ,  ,58300 ,0.86 ,Lbs ,50000
2017 ,472999 ,WOOL ,43 ,Mariposa ,  ,  ,17000 ,1.53 ,Lbs ,26000
2017 ,472999 ,WOOL ,45 ,Mendocino ,  ,  ,34200 ,1.55 ,Lbs ,53000
2017 ,472999 ,WOOL ,47 ,Merced ,  ,  ,73900 ,1.56 ,Lbs ,115000
2017 ,472999 ,WOOL ,51 ,Mono ,  ,  ,98300 ,2.17 ,Lbs ,213000
2017 ,472999 ,WOOL ,57 ,Nevada ,  ,  ,1300 ,5.77 ,Lbs ,7500
2017 ,472999 ,WOOL ,63 ,Plumas ,  ,  ,  ,  ,Lbs ,2410
2017 ,472999 ,WOOL ,77 ,San Joaquin ,  ,  ,113000 ,1.12 ,Lbs ,126000
2017 ,472999 ,WOOL ,91 ,Sierra ,  ,  ,800 ,12.00 ,Lbs ,9600
2017 ,472999 ,WOOL ,93 ,Siskiyou ,  ,  ,13700 ,2.17 ,Lbs ,29700
2017 ,472999 ,WOOL ,95 ,Solano ,  ,  ,259000 ,1.28 ,Lbs ,332000
2017 ,472999 ,WOOL ,97 ,Sonoma ,  ,  ,121000 ,0.90 ,Lbs ,109000
2017 ,472999 ,WOOL ,99 ,Stanislaus ,  ,  ,31000 ,1.65 ,Lbs ,51200
2017 ,472999 ,WOOL ,115 ,Yuba ,  ,  ,12000 ,1.92 ,Lbs ,23000
2017 ,472999 ,WOOL ,991 ,Sum of Others ,  ,  ,395000 ,1.57 ,Lbs ,620000
2017 ,472999 ,WOOL , 999, State Total,  ,  ,2085300 ,1.64 ,    ,3426610
